seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
49,7,6,7,D0,True,19,0,19,0,0,0,0,0,0,[],3.0,S66,1.4,19,0,19,0.0,-7.842719,,,-7.842719,True,True,,,,,,,0.626042,0.260215,0.168034,,,,,0.106415,0.111442,,,,,,0.001849,0.000756,,,,,,0.616739,,,,,0.0,0.014838,0.079658,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,26,S66,False,19,0,19,18,0,0,0,0,0,"['B18', 'B286', 'B707', 'B432', 'B618', 'B272', 'B129', 'B287', 'B605', 'B424', 'B439', 'B45', 'B50', 'B566', 'B339', 'B711', 'B295', 'B686']",12.0,S28,8.95,1,0,1,0.0,-7.896952,,,-7.896952,True,False,,,,,,,0.658114,0.255741,0.185911,,,,,0.094545,0.111354,,,,,,0.001784,0.000714,,,,,,0.616967,,,,,0.0,0.02123,0.094939,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,47,S28,False,1,0,1,0,17,0,0,0,0,"['B322', 'B677', 'B107', 'B675', 'B77', 'B234', 'B379', 'B174', 'B275', 'B535', 'B537', 'B230', 'B751', 'B143', 'B137', 'B706', 'B352']",11.5,S26,8.54,18,0,18,0.0,-7.837828,,,-7.837828,False,False,,,,,,,0.614496,0.224351,0.169666,,,,,0.157518,0.139615,,,,,,0.001771,0.000712,,,,,,0.617163,,,,,0.0,0.018888,0.081577,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,7,S26,False,18,0,18,18,0,0,0,0,0,"['B163', 'B322', 'B677', 'B107', 'B675', 'B77', 'B234', 'B379', 'B174', 'B275', 'B535', 'B537', 'B230', 'B751', 'B143', 'B137', 'B706', 'B352']",12.0,S43,8.51,0,0,0,0.0,-7.861314,,,-7.861314,False,False,,,,,,,0.622194,0.233127,0.1645,,,,,0.160522,0.138057,,,,,,0.001987,0.000827,,,,,,0.617357,,,,,0.0,0.014911,0.093806,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,28,S43,False,0,0,0,0,14,0,0,0,0,"['B637', 'B159', 'B67', 'B40', 'B598', 'B144', 'B82', 'B277', 'B431', 'B131', 'B468', 'B172', 'B298', 'B308']",10.0,S61,3.44,14,0,14,0.0,-7.812341,,,-7.812341,True,False,,,,,,,0.617062,0.213919,0.155188,,,,,0.141842,0.114409,,,,,,0.00204,0.000848,,,,,,0.617487,,,,,0.0,0.010536,0.078914,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,41,S61,False,14,0,14,10,0,0,0,0,0,"['B637', 'B159', 'B67', 'B40', 'B598', 'B144', 'B82', 'B277', 'B431', 'B131']",8.0,S38,3.09,4,0,4,0.0,-7.770704,,,-7.770704,True,False,,,,,,,0.588839,0.214476,0.135196,,,,,0.152395,0.095829,,,,,,0.002085,0.000866,,,,,,0.617567,,,,,0.0,0.015641,0.087967,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,52,S38,False,4,0,4,0,16,0,0,0,0,"['B44', 'B760', 'B553', 'B205', 'B400', 'B3', 'B319', 'B31', 'B399', 'B765', 'B149', 'B10', 'B158', 'B697', 'B724', 'B133']",11.0,S15,6.4,20,0,20,0.0,-7.702384,,,-7.702384,False,False,,,,,,,0.545221,0.189662,0.149942,,,,,0.147054,0.10862,,,,,,0.002175,0.000892,,,,,,0.617663,,,,,0.0,0.028013,0.098772,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,9,S15,False,20,0,20,18,0,0,0,0,0,"['B468', 'B172', 'B298', 'B308', 'B44', 'B760', 'B553', 'B205', 'B400', 'B3', 'B319', 'B31', 'B399', 'B765', 'B149', 'B10', 'B158', 'B697']",12.0,S46,5.48,2,0,2,0.0,-7.679865,,,-7.679865,False,False,,,,,,,0.527261,0.186745,0.142723,,,,,0.17254,0.100562,,,,,,0.002319,0.000918,,,,,,0.617829,,,,,0.0,0.022237,0.097115,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,27,S46,False,2,0,2,0,13,0,0,0,0,"['B496', 'B480', 'B555', 'B512', 'B123', 'B572', 'B96', 'B655', 'B521', 'B324', 'B276', 'B81', 'B250']",9.5,S40,3.01,15,0,15,0.0,-7.655245,,,-7.655245,False,False,,,,,,,0.52213,0.172969,0.140904,,,,,0.180237,0.100202,,,,,,0.002396,0.000935,,,,,,0.617949,,,,,0.0,0.02228,0.077495,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,39,S40,False,15,0,15,11,0,0,0,0,0,"['B724', 'B133', 'B496', 'B480', 'B555', 'B512', 'B123', 'B572', 'B96', 'B655', 'B521']",8.5,S37,3.31,4,0,4,0.0,-7.645207,,,-7.645207,True,False,,,,,,,0.513149,0.174336,0.134261,,,,,0.195884,0.090165,,,,,,0.002473,0.000952,,,,,,0.618031,,,,,0.0,0.023206,0.076147,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,51,S37,False,4,0,4,0,16,0,0,0,0,"['B13', 'B370', 'B740', 'B709', 'B672', 'B38', 'B88', 'B19', 'B404', 'B755', 'B443', 'B592', 'B231', 'B290', 'B162', 'B364']",11.0,S22,7.12,20,0,20,0.0,-7.608904,,,-7.608904,False,False,,,,,,,0.502886,0.188489,0.132119,,,,,0.132404,0.103478,,,,,,0.002604,0.000978,,,,,,0.618098,,,,,0.0,0.021653,0.071711,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,9,S22,False,20,0,20,16,0,0,0,0,0,"['B324', 'B276', 'B81', 'B250', 'B13', 'B370', 'B740', 'B709', 'B672', 'B38', 'B88', 'B19', 'B404', 'B755', 'B443', 'B592']",11.0,S62,7.3,4,0,4,0.0,-7.652858,,,-7.652858,False,False,,,,,,,0.516998,0.202999,0.129494,,,,,0.146314,0.105262,,,,,,0.002759,0.001048,,,,,,0.618209,,,,,0.0,0.026449,0.080472,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,28,S62,False,4,0,4,0,12,0,0,0,0,"['B739', 'B634', 'B705', 'B126', 'B753', 'B627', 'B191', 'B177', 'B394', 'B661', 'B122', 'B313']",9.0,S29,3.79,16,0,16,0.0,-7.642654,,,-7.642654,False,False,,,,,,,0.509301,0.204561,0.125426,,,,,0.14027,0.11131,,,,,,0.002856,0.001067,,,,,,0.618343,,,,,0.0,0.02741,0.084202,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,40,S29,False,16,0,16,16,0,0,0,0,0,"['B231', 'B290', 'B162', 'B364', 'B739', 'B634', 'B705', 'B126', 'B753', 'B627', 'B191', 'B177', 'B394', 'B661', 'B122', 'B313']",11.0,S63,5.25,0,0,0,0.0,-7.673987,,,-7.673987,False,False,,,,,,,0.52213,0.213086,0.124159,,,,,0.146645,0.112441,,,,,,0.002994,0.001092,,,,,,0.618451,,,,,0.0,0.030408,0.088237,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,57,S63,False,0,0,0,0,18,0,0,0,0,"['B2', 'B733', 'B710', 'B571', 'B418', 'B278', 'B611', 'B43', 'B506', 'B678', 'B57', 'B160', 'B269', 'B562', 'B297', 'B53', 'B104', 'B724']",12.0,S31,4.21,18,0,18,0.0,-7.626306,,,-7.626306,False,False,,,,,,,0.490058,0.212394,0.11596,,,,,0.154784,0.109642,,,,,,0.003165,0.001165,,,,,,0.618537,,,,,0.0,0.033182,0.086721,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,13,S31,False,18,0,18,16,0,0,0,0,0,"['B2', 'B733', 'B710', 'B571', 'B418', 'B278', 'B611', 'B43', 'B506', 'B678', 'B57', 'B160', 'B269', 'B562', 'B297', 'B53']",11.0,S32,6.41,2,0,2,0.0,-7.667097,,,-7.667097,False,False,,,,,,,0.506735,0.215339,0.115999,,,,,0.17475,0.099461,,,,,,0.003356,0.001253,,,,,,0.618721,,,,,0.0,0.048725,0.09277,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,30,S32,False,2,0,2,0,12,0,0,0,0,"['B516', 'B325', 'B485', 'B365', 'B409', 'B282', 'B185', 'B23', 'B630', 'B574', 'B518', 'B421']",9.0,S13,14.96,14,0,14,0.0,-7.631427,,,-7.631427,False,False,,,,,,,0.486209,0.200194,0.120809,,,,,0.204435,0.106366,,,,,,0.003891,0.001379,,,,,,0.618897,,,,,0.0,0.0578,0.065826,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,54,S13,False,14,0,14,0,0,0,0,0,0,[],3.0,S7,2.1,14,0,14,0.0,-7.705179,,,-7.705179,True,False,,,,,,,0.514432,0.20834,0.130459,,,,,0.207794,0.106603,,,,,,0.003949,0.001405,,,,,,0.619171,,,,,0.0,0.07446,0.09726,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,59,S7,False,14,0,14,0,0,0,0,0,0,[],3.0,S13,2.1,14,0,14,0.0,-7.794436,,,-7.794436,False,False,,,,,,,0.57601,0.223174,0.130661,,,,,0.201657,0.112496,,,,,,0.004042,0.001443,,,,,,0.619211,,,,,0.0,0.077996,0.07413,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,5,S13,False,14,0,14,11,0,0,0,0,0,"['B104', 'B724', 'B516', 'B325', 'B485', 'B365', 'B409', 'B282', 'B185', 'B23', 'B630']",8.5,S37,10.95,3,0,3,0.0,-7.798364,,,-7.798364,True,False,,,,,,,0.564464,0.226164,0.129501,,,,,0.236745,0.120744,,,,,,0.004348,0.001565,,,,,,0.619278,,,,,0.0,0.07559,0.073926,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,24,S37,False,3,0,3,0,13,0,0,0,0,"['B441', 'B494', 'B49', 'B403', 'B546', 'B296', 'B42', 'B545', 'B212', 'B595', 'B351', 'B45', 'B50']",9.5,S2,6.84,16,0,16,0.0,-7.750598,,,-7.750598,False,False,,,,,,,0.54009,0.203459,0.123679,,,,,0.24227,0.137824,,,,,,0.004605,0.001864,,,,,,0.619485,,,,,0.0,0.075518,0.069754,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,40,S2,False,16,0,16,16,0,0,0,0,0,"['B574', 'B518', 'B421', 'B441', 'B494', 'B49', 'B403', 'B546', 'B296', 'B42', 'B545', 'B212', 'B595', 'B351', 'B45', 'B50']",11.0,S53,8.7,0,0,0,0.0,-7.694981,,,-7.694981,False,False,,,,,,,0.493906,0.199825,0.111892,,,,,0.276808,0.169345,,,,,,0.004927,0.002299,,,,,,0.619641,,,,,0.0,0.068253,0.05847,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,0,S53,False,0,0,0,0,16,1,0,0,0,"['B719', 'B701', 'B225', 'B759', 'B341', 'B573', 'B32', 'B249', 'B397', 'B334', 'B410', 'B429', 'B641', 'B744', 'B367', 'B390']",14.0,S26,7.29,16,0,16,0.0,-7.75415,,,-7.75415,True,True,,,,,,,0.508018,0.219808,0.112661,,,,,0.30219,0.19112,,,,,,0.004945,0.00234,,,,,,0.619034,,,,,0.009501,0.081237,0.06408,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,21,S26,False,16,0,16,16,0,0,0,0,0,"['B719', 'B701', 'B225', 'B759', 'B341', 'B573', 'B32', 'B249', 'B397', 'B334', 'B410', 'B429', 'B641', 'B744', 'B367', 'B390']",11.0,S33,6.45,0,0,0,0.0,-7.770991,,,-7.770991,False,False,,,,,,,0.508018,0.23633,0.10466,,,,,0.302029,0.212482,,,,,,0.00496,0.002389,,,,,,0.619988,,,,,0.0,0.083048,0.062424,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,39,S33,False,0,0,0,0,13,0,0,0,0,"['B333', 'B136', 'B442', 'B749', 'B468', 'B304', 'B500', 'B154', 'B589', 'B528', 'B452', 'B448', 'B387']",9.5,S34,3.68,13,0,13,0.0,-7.738415,,,-7.738415,False,False,,,,,,,0.496472,0.220796,0.105835,,,,,0.293732,0.215092,,,,,,0.004971,0.002424,,,,,,0.620203,,,,,0.0,0.071478,0.063233,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,52,S34,False,13,0,13,0,0,0,0,0,0,[],3.0,S29,2.43,13,0,13,0.0,-7.736167,,,-7.736167,False,False,,,,,,,0.499038,0.215142,0.111958,,,,,0.280706,0.215504,,,,,,0.004975,0.002437,,,,,,0.620362,,,,,0.0,0.077629,0.064785,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,57,S29,False,13,0,13,13,0,0,0,0,0,"['B333', 'B136', 'B442', 'B749', 'B468', 'B304', 'B500', 'B154', 'B589', 'B528', 'B452', 'B448', 'B387']",9.5,S30,8.0,0,0,0,0.0,-7.694663,,,-7.694663,False,False,,,,,,,0.461835,0.205176,0.101533,,,,,0.347815,0.186901,,,,,,0.004887,0.002365,,,,,,0.6204,,,,,0.0,0.078311,0.063281,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,15,S30,False,0,0,0,0,7,0,0,0,0,"['B126', 'B753', 'B338', 'B84', 'B310', 'B740', 'B39']",6.5,S36,9.24,7,0,7,0.0,-7.669806,,,-7.669806,False,False,,,,,,,0.475946,0.186615,0.109068,,,,,0.277645,0.215342,,,,,,0.004791,0.002279,,,,,,0.620611,,,,,0.0,0.056666,0.054336,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,31,S36,False,7,0,7,7,0,1,0,0,0,"['B126', 'B753', 'B338', 'B84', 'B310', 'B740', 'B39']",9.5,S12,3.39,0,0,0,0.0,-7.718349,,,-7.718349,True,True,,,,,,,0.500321,0.209574,0.100731,,,,,0.283895,0.193939,,,,,,0.004719,0.002142,,,,,,0.619859,,,,,0.012279,0.057482,0.059921,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,43,S12,False,0,0,0,0,13,0,0,0,0,"['B173', 'B7', 'B682', 'B601', 'B311', 'B207', 'B302', 'B312', 'B77', 'B627', 'B368', 'B398', 'B110']",9.5,S51,2.02,13,0,13,0.0,-7.709187,,,-7.709187,False,False,,,,,,,0.492623,0.212334,0.101875,,,,,0.284507,0.180673,,,,,,0.004715,0.002084,,,,,,0.620887,,,,,0.0,0.056578,0.063914,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,55,S51,False,13,0,13,0,0,0,0,0,0,[],3.0,S48,0.84,13,0,13,0.0,-7.790839,,,-7.790839,True,False,,,,,,,0.519564,0.242108,0.104222,,,,,0.307972,0.178299,,,,,,0.00469,0.002065,,,,,,0.621004,,,,,0.0,0.058737,0.079209,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,59,S48,False,13,0,13,0,7,1,0,0,0,"['B168', 'B401', 'B222', 'B746', 'B434', 'B193', 'B364']",9.5,S60,8.25,20,0,20,0.0,-7.828974,,,-7.828974,True,True,,,,,,,0.568313,0.248278,0.118652,,,,,0.193593,0.213062,,,,,,0.004388,0.001837,,,,,,0.620256,,,,,0.010433,0.06035,0.086569,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,17,S60,False,20,0,20,20,0,0,0,0,0,"['B173', 'B7', 'B682', 'B601', 'B311', 'B207', 'B302', 'B312', 'B77', 'B627', 'B368', 'B398', 'B110', 'B168', 'B401', 'B222', 'B746', 'B434', 'B193', 'B364']",13.0,S62,3.68,0,0,0,0.0,-7.911509,,,-7.911509,True,False,,,,,,,0.608082,0.267086,0.106703,,,,,0.230679,0.108536,,,,,,0.00411,0.001714,,,,,,0.621356,,,,,0.0,0.053825,0.133833,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,33,S62,False,0,0,0,0,20,0,0,0,0,"['B370', 'B210', 'B309', 'B766', 'B174', 'B572', 'B687', 'B659', 'B655', 'B112', 'B731', 'B255', 'B4', 'B328', 'B53', 'B182', 'B241', 'B668', 'B28', 'B583']",13.0,S35,5.61,20,0,20,0.0,-7.986197,,,-7.986197,False,False,,,,,,,0.650417,0.281197,0.136902,,,,,0.197862,0.146037,,,,,,0.003779,0.001567,,,,,,0.62177,,,,,0.0,0.051556,0.129594,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,52,S35,False,20,0,20,19,0,0,0,0,0,"['B370', 'B210', 'B309', 'B766', 'B174', 'B572', 'B687', 'B659', 'B655', 'B112', 'B731', 'B255', 'B4', 'B328', 'B53', 'B182', 'B241', 'B668', 'B28']",12.5,S31,8.41,1,0,1,0.0,-7.919971,,,-7.919971,True,False,,,,,,,0.600385,0.304284,0.128124,,,,,0.184176,0.136377,,,,,,0.003514,0.001439,,,,,,0.622173,,,,,0.0,0.063698,0.132473,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,13,S31,False,1,0,1,0,19,0,0,0,0,"['B556', 'B230', 'B743', 'B307', 'B672', 'B323', 'B557', 'B88', 'B702', 'B407', 'B142', 'B428', 'B96', 'B449', 'B476', 'B143', 'B304', 'B371', 'B85']",12.5,S42,9.6,20,0,20,0.0,-7.875717,,,-7.875717,False,False,,,,,,,0.599102,0.291414,0.143801,,,,,0.149433,0.141007,,,,,,0.0033,0.001326,,,,,,0.622575,,,,,0.0,0.05492,0.094729,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,35,S42,False,20,0,20,13,0,0,0,0,0,"['B583', 'B556', 'B230', 'B743', 'B307', 'B672', 'B323', 'B557', 'B88', 'B702', 'B407', 'B142', 'B428']",9.5,S65,11.85,7,0,7,0.0,-7.815879,,,-7.815879,True,False,,,,,,,0.582425,0.283704,0.131589,,,,,0.132786,0.111598,,,,,,0.003096,0.001309,,,,,,0.622896,,,,,0.0,0.059547,0.075822,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,56,S65,False,7,0,7,0,13,1,0,0,0,"['B306', 'B18', 'B539', 'B669', 'B382', 'B646', 'B414', 'B286', 'B522', 'B71', 'B671', 'B663', 'B479']",12.5,S26,6.43,20,0,20,0.0,-7.858785,,,-7.858785,True,True,,,,,,,0.617062,0.261768,0.159241,,,,,0.11242,0.101446,,,,,,0.003001,0.001147,,,,,,0.621571,,,,,0.009567,0.052382,0.101194,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,15,S26,False,20,0,20,20,0,0,0,0,0,"['B96', 'B449', 'B476', 'B143', 'B304', 'B371', 'B85', 'B306', 'B18', 'B539', 'B669', 'B382', 'B646', 'B414', 'B286', 'B522', 'B71', 'B671', 'B663', 'B479']",13.0,S5,10.64,0,0,0,0.0,-7.853086,,,-7.853086,False,False,,,,,,,0.604234,0.26622,0.154314,,,,,0.107567,0.084853,,,,,,0.002724,0.001067,,,,,,0.622603,,,,,0.0,0.049781,0.133574,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,39,S5,False,0,0,0,0,20,0,0,0,0,"['B58', 'B55', 'B676', 'B64', 'B624', 'B695', 'B764', 'B577', 'B147', 'B475', 'B267', 'B721', 'B332', 'B651', 'B585', 'B221', 'B677', 'B353', 'B443', 'B294']",13.0,S54,14.1,20,0,20,0.0,-7.689228,,,-7.689228,False,False,,,,,,,0.54009,0.228053,0.142235,,,,,0.068193,0.073618,,,,,,0.002436,0.000979,,,,,,0.62288,,,,,0.0,0.057488,0.102468,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,6,S54,False,20,0,20,9,0,0,0,0,0,"['B58', 'B55', 'B676', 'B64', 'B624', 'B695', 'B764', 'B577', 'B147']",7.5,S10,1.21,11,0,11,0.0,-7.634006,,,-7.634006,True,False,,,,,,,0.520847,0.209714,0.150928,,,,,0.060172,0.077175,,,,,,0.002368,0.000952,,,,,,0.623172,,,,,0.0,0.041534,0.083525,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,15,S10,False,11,0,11,9,0,0,0,0,0,"['B475', 'B267', 'B721', 'B332', 'B651', 'B585', 'B221', 'B677', 'B353']",7.5,S22,9.54,2,0,2,0.0,-7.572507,,,-7.572507,True,False,,,,,,,0.496472,0.205662,0.133259,,,,,0.04526,0.064438,,,,,,0.002238,0.0009,,,,,,0.62323,,,,,0.0,0.04471,0.071334,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,32,S22,False,2,0,2,0,13,0,0,0,0,"['B340', 'B197', 'B319', 'B215', 'B410', 'B455', 'B37', 'B681', 'B207', 'B417', 'B149', 'B322', 'B489']",9.5,S37,7.12,15,0,15,0.0,-7.549695,,,-7.549695,False,False,,,,,,,0.481078,0.201752,0.141189,,,,,0.038727,0.0616,,,,,,0.002117,0.000852,,,,,,0.623406,,,,,0.0,0.038484,0.081805,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,48,S37,False,15,0,15,15,0,0,0,0,0,"['B443', 'B294', 'B340', 'B197', 'B319', 'B215', 'B410', 'B455', 'B37', 'B681', 'B207', 'B417', 'B149', 'B322', 'B489']",10.5,S33,1.91,0,0,0,0.0,-7.538758,,,-7.538758,False,False,,,,,,,0.478512,0.182306,0.130842,,,,,0.053376,0.05371,,,,,,0.002019,0.000812,,,,,,0.623559,,,,,0.0,0.034508,0.090655,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,1,S33,False,0,0,0,0,14,0,0,0,0,"['B388', 'B229', 'B298', 'B125', 'B470', 'B102', 'B471', 'B734', 'B224', 'B501', 'B521', 'B451', 'B581', 'B391']",10.0,S53,1.64,14,0,14,0.0,-7.574901,,,-7.574901,False,False,,,,,,,0.491341,0.18863,0.142116,,,,,0.055673,0.066417,,,,,,0.001945,0.000774,,,,,,0.623697,,,,,0.0,0.031946,0.099077,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,12,S53,False,14,0,14,14,0,0,0,0,0,"['B388', 'B229', 'B298', 'B125', 'B470', 'B102', 'B471', 'B734', 'B224', 'B501', 'B521', 'B451', 'B581', 'B391']",10.0,S48,4.33,0,0,0,0.0,-7.540291,,,-7.540291,True,False,,,,,,,0.481078,0.185217,0.122706,,,,,0.048167,0.047987,,,,,,0.001844,0.000723,,,,,,0.623843,,,,,0.0,0.028669,0.096,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,27,S48,False,0,0,0,0,12,0,0,0,0,"['B199', 'B126', 'B103', 'B753', 'B239', 'B116', 'B538', 'B542', 'B24', 'B161', 'B747', 'B533']",9.0,S27,8.86,12,0,12,0.0,-7.544424,,,-7.544424,False,False,,,,,,,0.490058,0.168382,0.130009,,,,,0.036061,0.042676,,,,,,0.001723,0.000661,,,,,,0.624036,,,,,0.0,0.031697,0.108488,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,45,S27,False,12,0,12,12,0,0,0,0,0,"['B199', 'B126', 'B103', 'B753', 'B239', 'B116', 'B538', 'B542', 'B24', 'B161', 'B747', 'B533']",9.0,S51,8.3,0,0,0,0.0,-7.575521,,,-7.575521,False,False,,,,,,,0.499038,0.167073,0.134422,,,,,0.053377,0.032494,,,,,,0.001601,0.000601,,,,,,0.624198,,,,,0.0,0.038624,0.12666,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,2,S51,False,0,0,0,0,9,2,0,0,0,"['B140', 'B730', 'B697', 'B174', 'B711', 'B718', 'B313', 'B47', 'B230']",13.5,S44,3.83,9,0,9,0.0,-7.567816,,,-7.567816,True,True,,,,,,,0.515715,0.150482,0.159654,,,,,0.039417,0.035766,,,,,,0.001441,0.000403,,,,,,0.622703,,,,,0.021115,0.017297,0.099259,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,19,S44,False,9,0,9,9,0,2,0,0,0,"['B140', 'B730', 'B697', 'B174', 'B711', 'B718', 'B313', 'B47', 'B230']",13.5,S22,8.22,0,0,0,0.0,-7.567312,,,-7.567312,True,True,,,,,,,0.518281,0.149989,0.159374,,,,,0.032267,0.028114,,,,,,0.001204,0.000249,,,,,,0.622744,,,,,0.02015,0.012352,0.104555,,,,0.0,0.04415,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,41,S22,False,0,0,0,0,14,0,0,0,0,"['B544', 'B712', 'B609', 'B710', 'B568', 'B74', 'B520', 'B736', 'B228', 'B260', 'B561', 'B241', 'B494', 'B525']",10.0,D0,3.97,14,0,14,0.0,-7.593302,,,-7.593302,False,False,,,,,,,0.534958,0.147509,0.169692,,,,,0.025048,0.026612,,,,,,0.001053,0.000212,,,,,,0.624334,,,,,0.0,0.011682,0.109646,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,55,D0,True,14,0,14,0,0,0,0,0,6,"['B330', 'B178', 'B492', 'B135', 'B647', 'B288']",6.0,D0,0.0,20,0,20,0.0,-7.718221,,,-7.718221,True,True,,,,,,,0.609365,0.172263,0.185564,,,,,0.008768,0.03221,,,,,,0.000989,0.000197,,,,,,0.624259,,,,,0.0,0.015236,0.105613,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
