seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
46,7,6,4,D0,True,17,0,17,0,0,0,0,0,3,"['B689', 'B681', 'B480']",4.5,S15,1.31,20,0,20,0.0,,-0.632883,-6.302638,-6.935521,True,True,5,S66,True,0,0.1447,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,25,S15,False,20,0,20,18,0,0,0,0,0,"['B632', 'B751', 'B716', 'B590', 'B268', 'B699', 'B251', 'B627', 'B86', 'B253', 'B446', 'B295', 'B256', 'B357', 'B262', 'B152', 'B558', 'B689']",12.0,S37,4.99,2,0,2,0.0,,-0.609437,-6.324064,-6.933501,False,False,18,S26,True,6,0.4253,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,42,S37,False,2,0,2,0,18,0,0,0,0,"['B274', 'B37', 'B416', 'B547', 'B730', 'B25', 'B334', 'B667', 'B634', 'B500', 'B347', 'B170', 'B713', 'B381', 'B592', 'B585', 'B261', 'B212']",12.0,S66,3.07,20,0,20,0.0,,-0.438614,-6.350351,-6.788965,False,False,12,S51,True,6,0.3583,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,57,S66,False,20,0,20,18,0,0,0,0,0,"['B681', 'B480', 'B274', 'B37', 'B416', 'B547', 'B730', 'B25', 'B334', 'B667', 'B634', 'B500', 'B347', 'B170', 'B713', 'B381', 'B592', 'B585']",12.0,S63,4.37,2,0,2,0.0,,-0.395786,-6.330113,-6.725899,False,False,18,S41,True,7,0.6343,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,14,S63,False,2,0,2,0,15,0,0,0,0,"['B53', 'B24', 'B409', 'B464', 'B511', 'B148', 'B93', 'B350', 'B2', 'B559', 'B748', 'B692', 'B403', 'B146', 'B657']",10.5,S61,3.24,17,0,17,0.0,,-0.366408,-6.356274,-6.722682,False,False,18,S61,False,8,0.7226,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,27,S61,False,17,0,17,0,0,3,1,0,0,['B438'],12.5,S26,6.04,17,1,18,0.0,,-0.366886,-6.371824,-6.73871,True,True,144,S26,True,43,3.1706,do_nothing+maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,46,S26,False,17,1,18,17,0,0,0,0,0,"['B261', 'B212', 'B53', 'B24', 'B409', 'B464', 'B511', 'B148', 'B93', 'B350', 'B2', 'B559', 'B748', 'B692', 'B403', 'B146', 'B657']",11.5,S54,5.73,0,1,1,0.0,,-0.283897,-6.354046,-6.637943,False,False,12,S57,True,6,0.343,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,3,S54,False,0,1,1,0,13,0,1,0,0,"['B465', 'B282', 'B244', 'B92', 'B227', 'B764', 'B586', 'B109', 'B665', 'B252', 'B300', 'B151', 'B635', 'B452']",10.0,S40,2.17,13,2,15,0.0,,-0.194529,-6.246082,-6.440611,True,True,36,S43,True,31,0.9928,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,15,S40,False,13,2,15,13,0,0,1,0,0,"['B80', 'B465', 'B282', 'B244', 'B92', 'B227', 'B764', 'B586', 'B109', 'B665', 'B252', 'B300', 'B151', 'B635']",10.0,S52,2.21,0,3,3,0.0,,-0.135868,-6.233195,-6.369062,True,True,36,S52,True,34,0.9105,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,28,S52,False,0,3,3,0,9,0,1,0,0,"['B288', 'B164', 'B265', 'B507', 'B106', 'B651', 'B461', 'B576', 'B224', 'B668']",8.0,S43,1.59,9,4,13,0.0,,-0.094507,-6.222599,-6.317106,True,True,36,S43,False,32,0.7258,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
