episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_starv_ratio,destination_cong_ratio,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
0,0.8751442380052511,-2.505770987578966,-0.003494061237600371,-0.0016833879550767394,-0.0006758779239372579,-0.00121673606547174,-0.0005810890365140023,-0.0015483354610327674,-0.0006358641887496183,-0.00022156201938547715,-0.00014298744499495887,-0.0001677230146834591,0.02,0.02,0.2
1,0.9185049431703545,-2.5128634107303376,-0.007201810298562554,-0.0032754487532779346,-0.0014013772046175433,-0.002358377614328036,-0.0012750848769208273,-0.0023389740185476553,-0.0007999370657125701,-0.00025799058115149134,-0.0002636583969275368,-0.00024534615499775716,0.019416,0.02,0.198006
2,0.9097305991154001,-2.5206048001138113,-0.011253380667309201,-0.005004726282791911,-0.002178509333677993,-0.0035788997670674087,-0.0020061764381783132,-0.003430323091627962,-0.0010420231469557616,-0.0003345044819955269,-0.0003759012628924048,-0.00033109350136163284,0.018864,0.02,0.196032
3,0.9146604654275342,-2.5278252323058754,-0.015097162455492613,-0.006600110041426517,-0.002992437232966219,-0.004704550364218416,-0.002697187560846399,-0.004265448868151691,-0.0012248838322897067,-0.00038721150485138855,-0.0004815642689599371,-0.00040885200707217663,0.018344,0.02,0.194078
4,0.9092505466834537,-2.5354265847472055,-0.01918491117863678,-0.00838810074718182,-0.0037757977510852526,-0.005948908353043953,-0.0034086965880973253,-0.005201324898268014,-0.0013823355066313239,-0.0004660272895004354,-0.0006113599881943661,-0.0004983517370723356,0.017851,0.02,0.192143
5,0.9132938301362525,-2.5423553832250807,-0.0228333146300202,-0.009932340853154177,-0.004503011069110155,-0.007044661558603126,-0.0040869412784793205,-0.0060474267053808465,-0.0016404824108925942,-0.0005452312780719815,-0.0007198064965663986,-0.0005831369234010471,0.017384,0.02,0.190228
6,0.9097789990054113,-2.5494810724390247,-0.02662765699471206,-0.011584139222287237,-0.005247183147481754,-0.008198182049724806,-0.004739974305076675,-0.007256930560993309,-0.0018522606668922314,-0.0006208032882328432,-0.0008205645823810415,-0.0006976487434382069,0.016941,0.02,0.188331
7,0.9138643857857824,-2.5561124506186426,-0.03015505910626853,-0.013115713777816762,-0.005953711584238989,-0.009265087434567339,-0.005390186190090082,-0.008034274835247794,-0.0020663668697040263,-0.0007132464584148856,-0.0009424020822439686,-0.0007803300687240863,0.016519,0.02,0.186454
8,0.9216866448517319,-2.5618116179245627,-0.03320264851215342,-0.014419716668945638,-0.006585849814092508,-0.010154944006060544,-0.005934529746149688,-0.008766634519574995,-0.0021520069309892017,-0.0007709733871897556,-0.001024027497183815,-0.0008457566108372052,0.016119,0.02,0.184595
9,0.9234680179877844,-2.5672166732009125,-0.03599806426846815,-0.015577011797689628,-0.007147883774130701,-0.011003745670546851,-0.006465817336922396,-0.009473807957992084,-0.0023126963338201364,-0.0008183519882609282,-0.001090064102235378,-0.0009078353912534862,0.015737,0.02,0.182755
