seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
47,7,6,8,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S65,3.15,20,0,20,0.0,,-0.462009,-6.377206,-6.839215,True,True,5,S26,True,2,0.1311,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,29,S65,False,20,0,20,20,0,0,0,0,0,"['B575', 'B183', 'B612', 'B185', 'B357', 'B661', 'B305', 'B490', 'B755', 'B634', 'B127', 'B280', 'B22', 'B164', 'B688', 'B380', 'B725', 'B594', 'B145', 'B391']",13.0,S37,5.89,0,0,0,0.0,,-0.420754,-6.297572,-6.718326,False,False,18,S26,True,12,0.4746,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,48,S37,False,0,0,0,0,20,0,0,0,0,"['B179', 'B411', 'B644', 'B576', 'B595', 'B62', 'B289', 'B696', 'B94', 'B480', 'B519', 'B589', 'B36', 'B241', 'B743', 'B237', 'B596', 'B177', 'B238', 'B446']",13.0,S51,4.67,20,0,20,0.0,,-0.361905,-6.315543,-6.677448,False,False,12,S26,True,7,0.4201,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,5,S51,False,20,0,20,13,0,0,0,0,0,"['B179', 'B411', 'B644', 'B576', 'B595', 'B62', 'B289', 'B696', 'B94', 'B480', 'B519', 'B589', 'B36']",9.5,S39,7.16,7,0,7,0.0,,-0.241955,-6.361814,-6.603769,False,False,18,S26,True,15,0.5317,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,22,S39,False,7,0,7,0,13,0,0,0,0,"['B269', 'B105', 'B721', 'B18', 'B440', 'B600', 'B180', 'B610', 'B485', 'B42', 'B474', 'B367', 'B592']",9.5,S26,9.74,20,0,20,0.0,,-0.194947,-6.30004,-6.494987,False,False,12,S61,True,6,0.5011,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,41,S26,False,20,0,20,20,0,0,0,0,0,"['B241', 'B743', 'B237', 'B596', 'B177', 'B238', 'B446', 'B269', 'B105', 'B721', 'B18', 'B440', 'B600', 'B180', 'B610', 'B485', 'B42', 'B474', 'B367', 'B592']",13.0,S59,8.38,0,0,0,0.0,,-0.171699,-6.281434,-6.453133,False,False,12,S38,True,9,0.4678,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,2,S59,False,0,0,0,0,20,0,0,0,0,"['B760', 'B216', 'B9', 'B502', 'B633', 'B462', 'B51', 'B547', 'B260', 'B148', 'B757', 'B211', 'B708', 'B340', 'B223', 'B618', 'B510', 'B63', 'B709', 'B408']",13.0,S32,6.22,20,0,20,0.0,,-0.141964,-6.18756,-6.329524,False,False,12,S27,True,7,0.3448,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,22,S32,False,20,0,20,13,0,0,1,0,0,"['B461', 'B760', 'B216', 'B9', 'B502', 'B633', 'B462', 'B51', 'B547', 'B260', 'B148', 'B757', 'B211', 'B708']",10.0,S45,2.27,7,1,8,0.0,,-0.076337,-6.162702,-6.239039,True,True,30,S27,True,25,0.8631,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,34,S45,False,7,1,8,0,12,0,0,0,0,"['B479', 'B262', 'B435', 'B362', 'B566', 'B627', 'B189', 'B685', 'B240', 'B102', 'B506', 'B56']",9.0,S27,4.36,19,1,20,0.0,,-0.171235,-6.155911,-6.327146,False,False,12,S24,True,6,0.3655,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,47,S27,False,19,1,20,15,0,1,0,0,0,"['B340', 'B223', 'B618', 'B510', 'B63', 'B709', 'B408', 'B479', 'B262', 'B435', 'B362', 'B566', 'B627', 'B189', 'B685']",13.5,S11,8.75,4,1,5,0.0,,-0.218331,-6.141789,-6.36012,True,True,36,S24,True,32,1.0649,delivery+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,9,10,S11,False,4,1,5,0,8,0,0,0,0,"['B690', 'B111', 'B429', 'B374', 'B729', 'B19', 'B243', 'B74']",7.0,S61,9.93,12,1,13,0.0,,-0.106822,-6.02016,-6.126982,False,False,18,S62,True,8,0.6917,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,9,27,S61,False,12,1,13,9,0,0,0,0,0,"['B240', 'B102', 'B506', 'B56', 'B690', 'B111', 'B429', 'B374', 'B729']",7.5,S62,2.06,3,1,4,0.0,,-0.100364,-6.043484,-6.143847,True,False,144,S34,True,48,3.1181,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,9,36,S62,False,3,1,4,0,16,0,0,0,0,"['B368', 'B77', 'B658', 'B32', 'B17', 'B199', 'B686', 'B366', 'B719', 'B347', 'B406', 'B544', 'B246', 'B395', 'B60', 'B322']",11.0,S34,2.8,19,1,20,0.0,,-0.124303,-6.036145,-6.160448,False,False,18,S25,True,7,0.4618,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,9,50,S34,False,19,1,20,14,0,0,0,0,0,"['B19', 'B243', 'B74', 'B368', 'B77', 'B658', 'B32', 'B17', 'B199', 'B686', 'B366', 'B719', 'B347', 'B406']",10.0,S54,2.69,5,1,6,0.0,,-0.165842,-6.049162,-6.215004,False,False,18,S15,True,13,0.4653,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,10,3,S54,False,5,1,6,0,12,0,0,0,0,"['B444', 'B607', 'B740', 'B442', 'B669', 'B133', 'B546', 'B495', 'B179', 'B53', 'B47', 'B210']",9.0,S57,2.65,17,1,18,0.0,,-0.124123,-6.159046,-6.283169,True,False,36,S57,False,27,0.9748,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,10,14,S57,False,17,1,18,9,0,0,0,0,0,"['B544', 'B246', 'B395', 'B60', 'B322', 'B444', 'B607', 'B740', 'B442']",7.5,S15,5.96,8,1,9,0.0,,-0.130221,-6.134244,-6.264466,True,False,54,S15,False,18,1.4655,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,10,28,S15,False,8,1,9,8,0,0,0,0,0,"['B669', 'B133', 'B546', 'B495', 'B179', 'B53', 'B47', 'B210']",7.0,S38,6.4,0,1,1,0.0,,-0.094508,-6.118628,-6.213136,False,False,12,S38,False,8,0.4442,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,10,41,S38,False,0,1,1,0,10,0,0,0,0,"['B604', 'B174', 'B349', 'B203', 'B171', 'B135', 'B116', 'B65', 'B727', 'B616']",8.0,S51,5.47,10,1,11,0.0,,-0.112123,-6.142838,-6.254961,False,False,18,S63,True,15,0.4347,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,10,55,S51,False,10,1,11,0,0,0,0,0,0,[],3.0,S29,7.57,10,1,11,0.0,,-0.129785,-6.167378,-6.297163,False,False,12,S52,True,1,0.3102,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,11,5,S29,False,10,1,11,10,0,1,0,0,0,"['B604', 'B174', 'B349', 'B203', 'B171', 'B135', 'B116', 'B65', 'B727', 'B616']",11.0,S48,7.68,0,1,1,0.0,,-0.171492,-6.147316,-6.318808,True,True,24,S48,False,21,0.75,delivery+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,11,24,S48,False,0,1,1,0,11,0,0,0,0,"['B515', 'B209', 'B588', 'B141', 'B169', 'B496', 'B623', 'B287', 'B124', 'B294', 'B476']",8.5,S50,8.86,11,1,12,0.0,,-0.047306,-6.148831,-6.196138,False,False,18,S33,True,7,0.5659,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,11,41,S50,False,11,1,12,11,0,0,0,0,0,"['B515', 'B209', 'B588', 'B141', 'B169', 'B496', 'B623', 'B287', 'B124', 'B294', 'B476']",8.5,S52,6.29,0,1,1,0.0,,-0.058856,-6.113818,-6.172674,False,False,12,S52,False,7,0.3758,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,11,56,S52,False,0,1,1,0,10,1,0,0,0,"['B86', 'B153', 'B190', 'B570', 'B55', 'B699', 'B595', 'B413', 'B732', 'B371']",11.0,S29,5.05,10,1,11,0.0,,-0.058945,-6.155261,-6.214207,True,True,36,S33,True,31,1.103,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,12,12,S29,False,10,1,11,10,0,0,0,0,0,"['B86', 'B153', 'B190', 'B570', 'B55', 'B699', 'B595', 'B413', 'B732', 'B371']",8.0,S40,3.08,0,1,1,0.0,,-0.099916,-6.128127,-6.228043,False,False,12,S40,False,6,0.3581,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,12,23,S40,False,0,1,1,0,12,0,0,0,0,"['B402', 'B492', 'B379', 'B99', 'B455', 'B541', 'B726', 'B275', 'B530', 'B344', 'B410', 'B165']",9.0,S54,2.17,12,1,13,0.0,,-0.159853,-6.123558,-6.28341,False,False,18,S33,True,6,0.6375,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,12,34,S54,False,12,1,13,12,0,1,0,0,0,"['B402', 'B492', 'B379', 'B99', 'B455', 'B541', 'B726', 'B275', 'B530', 'B344', 'B410', 'B165']",12.0,S33,3.1,0,1,1,0.0,,-0.165573,-6.10027,-6.265843,True,True,24,S33,False,20,0.9771,delivery+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,12,49,S33,False,0,1,1,0,17,0,0,0,0,"['B470', 'B403', 'B338', 'B585', 'B394', 'B95', 'B656', 'B97', 'B411', 'B356', 'B644', 'B157', 'B186', 'B228', 'B5', 'B3', 'B363']",11.5,S17,8.44,17,1,18,0.0,,-0.159819,-6.191178,-6.350998,False,False,18,S61,True,12,0.6543,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,13,9,S17,False,17,1,18,17,0,0,0,0,0,"['B470', 'B403', 'B338', 'B585', 'B394', 'B95', 'B656', 'B97', 'B411', 'B356', 'B644', 'B157', 'B186', 'B228', 'B5', 'B3', 'B363']",11.5,S30,7.68,0,1,1,0.0,,-0.112439,-6.252146,-6.364585,False,False,12,S30,False,9,0.4643,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,13,28,S30,False,0,1,1,0,9,1,0,0,0,"['B659', 'B25', 'B372', 'B534', 'B120', 'B98', 'B665', 'B717', 'B757']",10.5,S42,11.07,9,1,10,0.0,,-0.259705,-6.289914,-6.549619,True,True,72,S63,True,64,2.1036,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,13,50,S42,False,9,1,10,9,0,1,0,0,0,"['B659', 'B25', 'B372', 'B534', 'B120', 'B98', 'B665', 'B717', 'B757']",10.5,S63,7.96,0,1,1,0.0,,-0.329629,-6.403575,-6.733205,True,True,24,S63,False,18,0.8748,delivery+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,14,9,S63,False,0,1,1,0,15,0,0,0,0,"['B397', 'B469', 'B355', 'B213', 'B447', 'B333', 'B750', 'B240', 'B182', 'B642', 'B188', 'B532', 'B38', 'B183', 'B88']",10.5,S54,3.86,15,1,16,0.0,,-0.360248,-6.334956,-6.695204,True,False,36,S62,True,12,0.981,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,14,23,S54,False,15,1,16,15,0,0,0,0,0,"['B397', 'B469', 'B355', 'B213', 'B447', 'B333', 'B750', 'B240', 'B182', 'B642', 'B188', 'B532', 'B38', 'B183', 'B88']",10.5,S65,8.42,0,1,1,0.0,,-0.372249,-6.36507,-6.737319,False,False,12,S65,False,10,0.2721,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,14,42,S65,False,0,1,1,0,18,0,0,0,0,"['B707', 'B270', 'B545', 'B598', 'B164', 'B448', 'B251', 'B82', 'B725', 'B325', 'B145', 'B501', 'B47', 'B265', 'B23', 'B371', 'B54', 'B132']",12.0,S15,5.1,18,1,19,0.0,,-0.438811,-6.359399,-6.798209,False,False,18,S66,True,14,0.5069,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,14,59,S15,False,18,1,19,15,0,0,0,0,0,"['B707', 'B270', 'B545', 'B598', 'B164', 'B448', 'B251', 'B82', 'B725', 'B325', 'B145', 'B501', 'B47', 'B265', 'B23']",10.5,S62,2.79,3,1,4,0.0,,-0.425905,-6.38167,-6.807575,False,False,18,S29,True,12,0.5245,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,15,12,S62,False,3,1,4,0,15,0,0,0,0,"['B677', 'B661', 'B427', 'B138', 'B565', 'B716', 'B643', 'B488', 'B575', 'B33', 'B607', 'B590', 'B294', 'B104', 'B246']",10.5,S29,3.79,18,1,19,0.0,,-0.6039,-6.392965,-6.996865,False,False,18,S16,True,7,0.546,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,15,26,S29,False,18,1,19,18,0,0,0,0,0,"['B371', 'B54', 'B132', 'B677', 'B661', 'B427', 'B138', 'B565', 'B716', 'B643', 'B488', 'B575', 'B33', 'B607', 'B590', 'B294', 'B104', 'B246']",12.0,S12,9.35,0,1,1,0.0,,-0.419869,-6.327832,-6.747701,False,False,18,S39,True,9,0.557,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,15,48,S12,False,0,1,1,0,15,0,0,0,0,"['B612', 'B170', 'B514', 'B200', 'B60', 'B608', 'B364', 'B766', 'B299', 'B555', 'B210', 'B459', 'B148', 'B456', 'B398']",10.5,S39,8.6,15,1,16,0.0,,-0.3961,-6.304149,-6.700249,True,False,72,S31,True,24,2.4731,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,16,7,S39,False,15,1,16,14,0,0,0,0,0,"['B612', 'B170', 'B514', 'B200', 'B60', 'B608', 'B364', 'B766', 'B299', 'B555', 'B210', 'B459', 'B148', 'B456']",10.0,S60,2.89,1,1,2,0.0,,-0.283523,-6.242034,-6.525557,False,False,18,S48,True,7,0.9535,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,16,20,S60,False,1,1,2,0,17,0,0,0,0,"['B450', 'B713', 'B131', 'B381', 'B674', 'B744', 'B486', 'B195', 'B626', 'B203', 'B286', 'B100', 'B310', 'B53', 'B35', 'B58', 'B728']",11.5,S35,9.21,18,1,19,0.0,,-0.33041,-6.208036,-6.538446,False,False,18,S61,True,16,1.4547,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,16,41,S35,False,18,1,19,15,0,0,0,0,0,"['B398', 'B450', 'B713', 'B131', 'B381', 'B674', 'B744', 'B486', 'B195', 'B626', 'B203', 'B286', 'B100', 'B310', 'B53']",10.5,S31,8.41,3,1,4,0.0,,-0.255169,-6.236776,-6.491945,True,False,96,S26,True,60,3.0022,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,16,59,S31,False,3,1,4,0,16,0,0,0,0,"['B765', 'B496', 'B115', 'B124', 'B530', 'B476', 'B269', 'B344', 'B209', 'B387', 'B702', 'B162', 'B343', 'B703', 'B393', 'B79']",11.0,S46,5.03,19,1,20,0.0,,-0.200713,-6.259883,-6.460596,False,False,12,S54,True,7,0.3232,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,17,15,S46,False,19,1,20,12,0,0,0,0,0,"['B35', 'B58', 'B728', 'B765', 'B496', 'B115', 'B124', 'B530', 'B476', 'B269', 'B344', 'B209']",9.0,S63,1.02,7,1,8,0.0,,-0.242525,-6.23271,-6.475235,False,False,18,S63,False,6,0.6107,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,17,26,S63,False,7,1,8,7,0,0,0,0,0,"['B387', 'B702', 'B162', 'B343', 'B703', 'B393', 'B79']",6.5,S51,3.43,0,1,1,0.0,,-0.200985,-6.203045,-6.40403,True,False,24,S51,False,12,0.791,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,17,35,S51,False,0,1,1,0,15,0,0,0,0,"['B625', 'B106', 'B301', 'B587', 'B359', 'B751', 'B243', 'B689', 'B638', 'B493', 'B77', 'B154', 'B322', 'B513', 'B26']",10.5,S24,13.42,15,1,16,0.0,,-0.141935,-6.16621,-6.308144,False,False,18,S41,True,10,0.6908,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,17,59,S24,False,15,1,16,13,0,0,0,0,0,"['B625', 'B106', 'B301', 'B587', 'B359', 'B751', 'B243', 'B689', 'B638', 'B493', 'B77', 'B154', 'B322']",9.5,S59,9.52,2,1,3,0.0,,-0.230871,-6.187101,-6.417971,False,False,18,S48,True,9,0.6291,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,18,18,S59,False,2,1,3,0,17,0,0,0,0,"['B2', 'B314', 'B248', 'B606', 'B593', 'B675', 'B465', 'B510', 'B382', 'B517', 'B352', 'B227', 'B140', 'B420', 'B650', 'B10', 'B315']",11.5,S16,2.92,19,1,20,0.0,,-0.218719,-6.266101,-6.48482,False,False,18,S16,True,16,0.9914,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,18,33,S16,False,19,1,20,9,0,0,0,0,0,"['B513', 'B26', 'B2', 'B314', 'B248', 'B606', 'B593', 'B675', 'B465']",7.5,S10,4.96,10,1,11,0.0,,-0.118656,-6.217069,-6.335725,True,False,66,S25,True,8,2.6831,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,18,45,S10,False,10,1,11,9,0,0,0,0,0,"['B510', 'B382', 'B517', 'B352', 'B227', 'B140', 'B420', 'B650', 'B10']",7.5,S48,7.55,1,1,2,0.0,,-0.053148,-6.157403,-6.210551,True,False,54,S36,True,19,1.5437,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,19,0,S48,False,1,1,2,0,0,0,0,0,0,[],3.0,S66,8.36,1,1,2,0.0,,-0.070719,-6.219527,-6.290246,True,False,24,S14,True,3,1.2837,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,19,12,S66,False,1,1,2,0,11,0,0,0,0,"['B717', 'B380', 'B7', 'B194', 'B251', 'B261', 'B205', 'B676', 'B278', 'B673', 'B367']",8.5,S41,1.41,12,1,13,0.0,,-0.094748,-6.215699,-6.310447,True,False,36,S31,True,27,0.9614,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,19,22,S41,False,12,1,13,0,7,0,0,0,0,"['B165', 'B740', 'B70', 'B271', 'B61', 'B714', 'B524']",6.5,S37,3.7,19,1,20,0.0,,-0.059111,-6.189068,-6.248179,True,False,18,S54,True,12,0.4956,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,19,32,S37,False,19,1,20,19,0,0,0,0,0,"['B315', 'B717', 'B380', 'B7', 'B194', 'B251', 'B261', 'B205', 'B676', 'B278', 'B673', 'B367', 'B165', 'B740', 'B70', 'B271', 'B61', 'B714', 'B524']",12.5,S31,2.81,0,1,1,0.0,,-0.106191,-6.184123,-6.290314,False,False,9,S31,False,6,0.3449,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,19,47,S31,False,0,1,1,0,19,0,0,0,0,"['B351', 'B532', 'B85', 'B37', 'B184', 'B693', 'B202', 'B150', 'B709', 'B339', 'B355', 'B147', 'B285', 'B520', 'B564', 'B725', 'B660', 'B375', 'B735']",12.5,D0,1.48,19,1,20,0.0,,-0.124063,-6.237943,-6.362007,False,False,2,D0,False,1,0.0492,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8,6,13,D0,True,19,1,20,1,0,0,0,1,1,"['B695', 'B461']",4.5,S65,3.15,19,0,19,0.0,,-0.543737,-6.435562,-6.979299,True,True,5,S34,True,4,0.1395,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8,6,36,S65,False,20,0,20,20,0,0,0,0,0,"['B351', 'B532', 'B85', 'B37', 'B184', 'B693', 'B202', 'B150', 'B709', 'B339', 'B355', 'B147', 'B285', 'B520', 'B564', 'B725', 'B660', 'B375', 'B735', 'B695']",13.0,S59,5.18,0,0,0,0.0,,-0.461979,-6.450226,-6.912206,False,False,12,S59,False,6,0.3392,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8,6,54,S59,False,0,0,0,0,20,0,0,0,0,"['B654', 'B727', 'B429', 'B212', 'B8', 'B349', 'B335', 'B1', 'B91', 'B309', 'B624', 'B763', 'B145', 'B626', 'B503', 'B99', 'B542', 'B310', 'B291', 'B512']",13.0,S41,2.97,20,0,20,0.0,,-0.536774,-6.459917,-6.996691,False,False,18,S46,True,6,0.5444,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8,7,10,S41,False,20,0,20,17,0,0,0,0,0,"['B654', 'B727', 'B429', 'B212', 'B8', 'B349', 'B335', 'B1', 'B91', 'B309', 'B624', 'B763', 'B145', 'B626', 'B503', 'B99', 'B542']",11.5,S36,8.44,3,0,3,0.0,,-0.526932,-6.508937,-7.035868,True,False,30,S27,True,8,0.8952,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8,7,30,S36,False,3,0,3,0,15,0,0,0,0,"['B404', 'B274', 'B616', 'B482', 'B692', 'B539', 'B333', 'B123', 'B502', 'B671', 'B22', 'B497', 'B668', 'B279', 'B498']",10.5,S62,5.06,18,0,18,0.0,,-0.360808,-6.502366,-6.863174,False,False,18,S66,True,8,0.5328,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8,7,45,S62,False,18,0,18,15,0,0,0,0,0,"['B310', 'B291', 'B512', 'B404', 'B274', 'B616', 'B482', 'B692', 'B539', 'B333', 'B123', 'B502', 'B671', 'B22', 'B497']",10.5,S46,2.76,3,0,3,0.0,,-0.207262,-6.450421,-6.657683,False,False,18,S27,True,12,0.6875,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
