seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
50,7,6,0,D0,True,20,0,20,0,0,0,0,0,0,[],0.0,S27,1.1,20,0,20,0.0,-5.660338,,,-5.660338,True,True,,,,,,,0.605516,0.20768,0.112225,,,0.104478,0.014925,0.121847,0.0798,,,,,,,,0.203947,,,,,,,,,,0.0,0.05257,0.035132,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,6,16,S27,False,20,0,20,18,0,0,0,0,0,"['B206', 'B695', 'B73', 'B424', 'B359', 'B247', 'B423', 'B537', 'B132', 'B200', 'B625', 'B746', 'B111', 'B275', 'B413', 'B415', 'B544', 'B595']",9.0,S50,5.66,2,0,2,0.0,-5.668185,,,-5.668185,False,False,,,,,,,0.617062,0.208971,0.116605,,,0.119403,0.0,0.091806,0.062431,,,,,,,,0.210526,,,,,,,,,,0.0,0.060042,0.037831,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,6,30,S50,False,2,0,2,0,17,0,0,0,0,"['B158', 'B702', 'B41', 'B754', 'B608', 'B697', 'B664', 'B127', 'B286', 'B10', 'B19', 'B236', 'B414', 'B295', 'B300', 'B330', 'B757']",8.5,S22,10.84,19,0,19,0.0,-5.68097,,,-5.68097,False,False,,,,,,,0.627325,0.206875,0.12726,,,0.134328,0.0,0.080922,0.06006,,,,,,,,0.210526,,,,,,,,,,0.0,0.064097,0.039148,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,6,50,S22,False,19,0,19,17,0,0,0,0,0,"['B63', 'B433', 'B158', 'B702', 'B41', 'B754', 'B608', 'B697', 'B664', 'B127', 'B286', 'B10', 'B19', 'B236', 'B414', 'B295', 'B300']",8.5,S59,6.26,2,0,2,0.0,-5.635362,,,-5.635362,False,False,,,,,,,0.578576,0.176904,0.136397,,,0.119403,0.014925,0.148254,0.070627,,,,,,,,0.217105,,,,,,,,,,0.0,0.012505,0.031018,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,7,5,S59,False,2,0,2,0,18,0,0,0,0,"['B649', 'B285', 'B462', 'B621', 'B428', 'B708', 'B598', 'B601', 'B368', 'B309', 'B136', 'B203', 'B64', 'B122', 'B245', 'B603', 'B589', 'B251']",9.0,S26,8.38,20,0,20,0.0,-5.629842,,,-5.629842,False,False,,,,,,,0.573445,0.171535,0.143182,,,0.104478,0.014925,0.15348,0.082765,,,,,,,,0.217105,,,,,,,,,,0.0,0.010776,0.027792,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,7,22,S26,False,20,0,20,20,0,0,0,0,0,"['B330', 'B757', 'B649', 'B285', 'B462', 'B621', 'B428', 'B708', 'B598', 'B601', 'B368', 'B309', 'B136', 'B203', 'B64', 'B122', 'B245', 'B603', 'B589', 'B251']",10.0,S29,5.02,0,0,0,0.0,-5.629977,,,-5.629977,False,False,,,,,,,0.577293,0.169651,0.148181,,,0.089552,0.029851,0.14723,0.07983,,,,,,,,0.217105,,,,,,,,,,0.0,0.011676,0.028787,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,7,37,S29,False,0,0,0,0,17,0,0,0,0,"['B579', 'B305', 'B513', 'B656', 'B616', 'B112', 'B629', 'B177', 'B75', 'B571', 'B585', 'B346', 'B16', 'B34', 'B451', 'B610', 'B125']",8.5,S34,2.43,17,0,17,0.0,-5.679361,,,-5.679361,False,False,,,,,,,0.597819,0.183476,0.167131,,,0.119403,0.044776,0.165665,0.08999,,,,,,,,0.217105,,,,,,,,,,0.0,0.013447,0.031648,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,7,48,S34,False,17,0,17,15,0,0,0,0,0,"['B579', 'B305', 'B513', 'B656', 'B616', 'B112', 'B629', 'B177', 'B75', 'B571', 'B585', 'B346', 'B16', 'B34', 'B451']",7.5,S37,5.37,2,0,2,0.0,-5.576355,,,-5.576355,False,False,,,,,,,0.52213,0.171067,0.139961,,,0.089552,0.059701,0.135011,0.112901,,,,,,,,0.217105,,,,,,,,,,0.0,0.019581,0.038412,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,8,1,S37,False,2,0,2,0,18,0,0,0,0,"['B20', 'B324', 'B402', 'B720', 'B476', 'B450', 'B184', 'B446', 'B453', 'B688', 'B95', 'B557', 'B123', 'B252', 'B93', 'B395', 'B464', 'B660']",9.0,S51,4.67,20,0,20,0.0,-5.56094,,,-5.56094,False,False,,,,,,,0.511867,0.158573,0.141937,,,0.089552,0.059701,0.129445,0.12346,,,,,,,,0.217105,,,,,,,,,,0.0,0.019634,0.038444,,,,0.0,,,,,,,,,,,,,,,,,,,
50,7,8,14,S51,False,20,0,20,13,0,0,0,0,0,"['B610', 'B125', 'B20', 'B324', 'B402', 'B720', 'B476', 'B450', 'B184', 'B446', 'B453', 'B688', 'B95']",6.5,S38,5.47,7,0,7,0.0,-5.565343,,,-5.565343,False,False,,,,,,,0.513149,0.164925,0.136992,,,0.089552,0.029851,0.133698,0.131365,,,,,,,,0.217105,,,,,,,,,,0.0,0.021572,0.039486,,,,0.0,,,,,,,,,,,,,,,,,,,
