seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
45,7,6,9,D0,True,16,0,16,0,0,0,0,0,4,"['B638', 'B47', 'B218', 'B559']",2.0,S65,3.15,20,0,20,0.0,,-3.053458,-14.075625,-17.129084,True,True,5,S65,False,4,0.1367,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,6,29,S65,False,20,0,20,18,0,1,0,0,0,"['B603', 'B215', 'B220', 'B609', 'B164', 'B254', 'B611', 'B695', 'B230', 'B72', 'B460', 'B98', 'B510', 'B562', 'B749', 'B132', 'B638', 'B47']",12.0,S33,6.32,2,0,2,0.0,,-1.973545,-14.069372,-16.042917,True,True,36,S26,True,19,1.0133,delivery+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,6,48,S33,False,2,0,2,0,16,0,0,0,0,"['B354', 'B550', 'B422', 'B199', 'B452', 'B147', 'B594', 'B568', 'B361', 'B3', 'B407', 'B683', 'B731', 'B245', 'B133', 'B196']",8.0,S41,4.4,18,0,18,0.0,,-1.955884,-14.057866,-16.01375,False,False,18,S34,True,6,0.4831,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,0,S41,False,18,0,18,15,0,0,0,0,0,"['B218', 'B559', 'B354', 'B550', 'B422', 'B199', 'B452', 'B147', 'B594', 'B568', 'B361', 'B3', 'B407', 'B683', 'B731']",7.5,S54,6.96,3,0,3,0.0,,-0.965789,-13.969561,-14.935349,False,False,18,S45,True,15,0.4428,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,15,S54,False,3,0,3,0,14,0,1,0,0,"['B251', 'B325', 'B652', 'B172', 'B605', 'B269', 'B680', 'B331', 'B291', 'B114', 'B566', 'B178', 'B721', 'B130', 'B688']",7.5,S66,5.58,17,1,18,0.0,,-0.885609,-13.935117,-14.820726,True,True,36,S66,False,32,0.9003,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,28,S66,False,17,1,18,14,0,0,0,0,0,"['B245', 'B133', 'B196', 'B251', 'B325', 'B652', 'B172', 'B605', 'B269', 'B680', 'B331', 'B291', 'B114', 'B566']",7.0,S38,3.69,3,1,4,0.0,,-0.790994,-13.680362,-14.471356,False,False,18,S63,True,12,0.4297,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,38,S38,False,3,1,4,0,0,0,0,0,0,[],0.0,S52,3.1,3,1,4,0.0,,-0.922956,-13.811007,-14.733962,False,False,12,S34,True,3,0.2877,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,41,S52,False,3,1,4,0,14,0,0,0,0,"['B4', 'B121', 'B94', 'B252', 'B507', 'B396', 'B264', 'B253', 'B259', 'B49', 'B385', 'B67', 'B415', 'B118']",7.0,S26,7.0,17,1,18,0.0,,-0.61263,-13.767551,-14.380181,False,False,18,S34,True,12,0.4251,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,55,S26,False,17,1,18,17,0,0,0,0,0,"['B178', 'B721', 'B130', 'B4', 'B121', 'B94', 'B252', 'B507', 'B396', 'B264', 'B253', 'B259', 'B49', 'B385', 'B67', 'B415', 'B118']",8.5,S63,7.98,0,1,1,0.0,,-0.51466,-13.722011,-14.236671,False,False,12,S63,False,9,0.4227,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,8,12,S63,False,0,1,1,0,15,1,0,0,0,"['B214', 'B750', 'B716', 'B352', 'B78', 'B368', 'B723', 'B518', 'B160', 'B391', 'B567', 'B267', 'B77', 'B461', 'B135']",10.5,S15,5.25,15,1,16,0.0,,-0.433319,-13.303269,-13.736588,True,True,36,S40,True,19,0.9332,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
