seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,6,23,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,-25,-24,-17,-29,-15,-12,-7
47,7,0,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,2,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,3,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,4,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,1,34,27,34,0,0,0,0,0,0,0
47,7,5,0,0,0,0,0,1,2,0.0147,0.0347,0,0,3,0,12,1,178,157,190,1,0,0,0,0,0,2
47,7,6,17,17,1,0,3,1,0,0.016,0.0347,0,0,1,0,4,5,188,187,192,0,0,0,0,0,1,0
47,7,7,24,32,0,0,6,1,0,0.016,0.0347,1,0,1,1,2,4,152,161,154,0,0,1,0,0,0,0
47,7,8,23,29,0,0,6,0,0,0.016,0.0347,0,0,0,0,1,2,105,104,106,0,0,0,0,0,0,0
47,7,9,37,24,0,0,6,0,0,0.016,0.0347,0,0,0,0,2,6,164,155,166,0,0,0,0,0,0,0
47,7,10,31,35,0,0,6,0,1,0.016,0.036,0,0,1,0,7,0,179,182,186,0,0,1,0,0,0,0
47,7,11,19,24,0,0,5,0,0,0.016,0.036,0,0,0,0,1,1,155,152,156,0,0,0,0,0,0,0
47,7,12,27,23,0,0,5,1,0,0.0147,0.036,1,0,1,1,1,1,243,242,244,1,0,0,0,0,0,0
47,7,13,33,30,0,0,4,1,2,0.016,0.0387,0,0,3,0,7,4,231,222,238,1,0,0,0,1,1,0
47,7,14,30,33,0,0,4,1,3,0.0187,0.0414,0,0,4,0,24,17,340,323,364,1,1,0,1,0,1,0
47,7,15,13,27,0,0,5,2,0,0.0214,0.0427,0,0,2,0,8,21,232,247,240,0,2,0,0,0,0,0
47,7,16,31,25,0,0,5,2,1,0.0227,0.0427,0,0,3,0,11,6,197,197,208,0,0,1,1,1,0,0
47,7,17,18,20,0,0,8,0,1,0.024,0.0454,0,0,1,0,2,5,162,172,164,0,0,0,0,0,0,1
47,7,18,32,27,0,0,7,0,1,0.024,0.0454,0,0,1,0,1,5,169,173,170,0,0,0,0,0,1,0
47,7,19,16,16,1,11,7,1,1,0.024,0.0334,1,11,2,12,0,1,106,116,106,1,0,0,1,0,0,0
47,7,20,0,0,0,0,0,0,0,0.024,0.0334,0,0,0,0,3,1,69,71,72,0,0,0,0,0,0,0
47,7,21,0,0,0,0,0,1,0,0.024,0.0334,0,0,1,0,3,1,51,57,54,0,0,0,1,0,0,0
47,7,22,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,5,0,47,41,52,0,0,0,0,0,0,0
47,8,5,0,0,0,0,0,0,0,0.0254,0.0334,0,0,0,0,16,1,206,180,222,0,0,0,0,0,0,0
47,8,6,17,37,1,0,4,1,1,0.0254,0.0347,0,0,2,0,27,3,193,182,220,0,1,0,0,1,0,0
47,8,7,34,22,0,0,5,0,0,0.024,0.0347,2,0,0,2,10,4,102,124,112,0,0,0,0,0,0,0
47,8,8,14,21,0,0,5,0,1,0.02,0.036,3,0,1,3,12,1,124,121,136,0,0,1,0,0,0,0
47,8,9,19,24,0,0,7,1,1,0.0174,0.0374,3,0,2,3,8,1,156,141,164,0,0,0,1,0,0,1
47,8,10,26,26,0,0,4,0,0,0.0174,0.0374,0,0,0,0,7,1,149,159,156,0,0,0,0,0,0,0
47,8,11,36,26,0,0,6,3,1,0.02,0.0387,0,0,4,0,1,3,189,183,190,2,0,1,1,0,0,0
47,8,12,17,27,0,0,6,0,1,0.0214,0.0401,0,0,1,0,11,1,225,211,236,1,0,0,0,0,0,0
47,8,13,30,20,0,0,6,1,2,0.02,0.0414,2,0,3,2,12,0,252,245,264,0,0,0,2,0,1,0
47,8,14,8,18,0,0,6,1,1,0.0174,0.0427,3,0,2,3,17,5,349,333,366,0,1,1,0,0,0,0
47,8,15,29,29,0,0,7,3,1,0.02,0.0441,1,0,4,1,21,27,199,229,220,0,1,2,1,0,0,0
47,8,16,23,16,0,0,7,1,1,0.0187,0.0454,1,0,2,1,9,7,183,184,192,0,1,0,0,0,1,0
47,8,17,14,20,0,0,5,0,0,0.02,0.0467,0,0,0,0,5,4,137,147,142,0,0,0,0,0,0,0
47,8,18,20,14,0,0,6,1,0,0.0214,0.0467,0,0,1,0,5,2,109,125,114,0,0,0,1,0,0,0
47,8,19,14,21,1,13,6,1,1,0.0216,0.031,0,6,2,6,1,3,91,88,92,1,1,0,0,0,0,0
47,8,20,0,0,0,0,0,1,0,0.0229,0.031,0,0,1,0,1,6,97,96,98,0,0,0,0,0,0,1
47,8,21,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,1,5,53,63,54,0,0,0,0,0,0,0
47,8,22,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,0,0.0243,0.031,0,0,0,0,0,0,36,28,36,0,0,0,0,0,0,0
47,9,5,0,0,0,0,0,0,2,0.0243,0.0323,0,0,2,0,6,4,178,150,184,0,0,1,0,1,0,0
47,9,6,31,28,1,0,5,0,1,0.0226,0.0332,1,11,1,12,7,9,197,203,204,0,0,0,1,0,0,0
47,9,7,16,36,0,0,5,0,2,0.0226,0.0372,0,0,2,0,14,7,120,128,134,1,0,0,1,0,0,0
47,9,8,28,28,0,0,5,0,0,0.0226,0.0372,0,0,0,0,5,2,145,143,150,0,0,0,0,0,0,0
47,9,9,33,16,0,0,6,0,0,0.0226,0.0372,0,0,0,0,10,1,156,149,166,0,0,0,0,0,0,0
47,9,10,25,40,0,0,5,0,1,0.0199,0.0372,2,0,1,2,3,1,151,154,154,1,0,0,0,0,0,0
47,9,11,22,18,0,0,6,2,0,0.0199,0.0385,1,0,2,1,3,3,149,150,152,1,0,1,0,0,0,0
47,9,12,22,18,0,0,6,0,0,0.0199,0.0385,1,0,0,1,5,0,201,199,206,0,0,0,0,0,0,0
47,9,13,33,35,0,0,6,0,0,0.0199,0.0385,0,0,0,0,10,1,292,265,302,0,0,0,0,0,0,0
47,9,14,24,32,0,0,6,2,1,0.0212,0.0398,1,0,3,1,12,5,314,317,326,0,1,0,1,0,0,1
47,9,15,37,23,0,0,7,0,2,0.0212,0.0412,0,0,2,0,3,4,247,256,250,0,0,2,0,0,0,0
47,9,16,13,27,0,0,7,0,0,0.0212,0.0425,0,0,0,0,9,2,211,214,220,0,0,0,0,0,0,0
47,9,17,22,22,0,0,7,0,1,0.0199,0.0438,1,0,1,1,8,3,200,201,208,0,0,0,0,1,0,0
47,9,18,29,21,0,0,6,2,2,0.0226,0.0465,0,0,4,0,9,0,147,169,156,0,2,0,2,0,0,0
47,9,19,20,28,1,10,8,0,0,0.0225,0.0331,0,13,0,13,3,3,103,100,106,0,0,0,0,0,0,0
47,9,20,0,0,0,0,0,0,1,0.0225,0.0344,0,0,1,0,1,1,121,121,122,1,0,0,0,0,0,0
47,9,21,0,0,0,0,0,0,1,0.0225,0.0357,0,0,1,0,2,1,88,103,90,0,0,1,0,0,0,0
47,9,22,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
47,9,23,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,10,0,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,1,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,2,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,3,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,4,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,40,32,40,0,0,0,0,0,0,0
47,10,5,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,11,3,173,141,184,0,0,0,0,0,0,0
47,10,6,20,22,1,0,5,0,1,0.0225,0.0357,0,0,1,0,22,3,176,191,198,0,0,1,0,0,0,0
47,10,7,29,25,0,0,5,0,0,0.0198,0.037,2,0,0,2,8,6,138,143,146,0,0,0,0,0,0,0
47,10,8,28,43,0,0,5,0,0,0.0198,0.037,0,0,0,0,5,4,111,114,116,0,0,0,0,0,0,0
47,10,9,40,21,0,0,5,0,0,0.0185,0.037,1,0,0,1,4,0,184,176,188,0,0,0,0,0,0,0
47,10,10,21,33,0,0,6,0,1,0.0185,0.0384,0,0,1,0,7,0,213,200,220,0,0,0,0,0,1,0
47,10,11,22,20,0,0,4,0,0,0.0172,0.0384,1,0,0,1,12,0,200,201,212,0,0,0,0,0,0,0
47,10,12,37,31,0,0,6,1,2,0.0185,0.041,0,0,3,0,3,1,277,271,280,1,1,0,0,0,0,1
47,10,13,10,25,0,0,6,0,1,0.0159,0.0423,2,0,1,2,21,3,291,291,312,1,0,0,0,0,0,0
47,10,14,27,27,0,0,4,0,1,0.0159,0.0423,0,0,1,0,31,4,333,308,364,0,1,0,0,0,0,0
47,10,15,25,25,0,0,5,2,0,0.0146,0.0437,1,0,2,1,14,4,306,319,320,0,0,0,2,0,0,0
47,10,16,21,21,0,0,6,1,1,0.0172,0.045,0,0,2,0,7,2,263,260,270,0,1,0,0,0,1,0
47,10,17,14,14,0,0,3,2,0,0.0212,0.045,0,0,2,0,9,0,179,203,188,1,0,1,0,0,0,0
47,10,18,36,36,0,0,9,0,0,0.0212,0.045,0,0,0,0,12,3,114,117,126,0,0,0,0,0,0,0
47,10,19,22,22,1,9,8,2,0,0.0241,0.0335,0,0,2,0,8,2,112,125,120,0,0,0,0,2,0,0
47,10,20,0,0,0,0,0,1,0,0.0254,0.0335,0,0,1,0,6,2,112,113,118,0,1,0,0,0,0,0
47,10,21,0,0,0,0,0,1,0,0.0268,0.0335,0,0,1,0,0,2,42,53,42,0,0,0,0,0,0,1
47,10,22,0,0,0,0,0,0,0,0.0268,0.0335,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
47,10,23,0,0,0,0,0,0,0,0.0268,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,0,0,0,0,0,0,0,0,0.0268,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,1,0,0,0,0,0,0,0,0.0268,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,2,0,0,0,0,0,0,0,0.0268,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,3,0,0,0,0,0,0,0,0.0268,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,4,0,0,0,0,0,1,0,0.0281,0.0335,0,0,1,0,0,0,28,27,28,0,0,1,0,0,0,0
47,11,5,0,0,0,0,0,2,1,0.0281,0.0335,0,0,3,0,19,2,181,151,200,1,1,0,0,0,0,1
47,11,6,28,18,1,0,4,0,1,0.0304,0.0357,0,10,1,10,34,8,164,166,198,0,0,0,0,1,0,0
47,11,7,34,38,0,0,6,2,1,0.0317,0.037,0,0,3,0,23,2,143,141,166,1,0,0,0,1,1,0
47,11,8,21,26,0,0,6,0,0,0.0317,0.037,1,0,0,1,3,0,115,118,118,0,0,0,0,0,0,0
47,11,9,23,34,0,0,7,0,0,0.0304,0.037,1,0,0,1,3,2,143,146,146,0,0,0,0,0,0,0
47,11,10,19,19,0,0,6,1,0,0.0317,0.037,0,0,1,0,7,2,177,165,184,1,0,0,0,0,0,0
47,11,11,18,8,0,0,4,0,2,0.0291,0.0396,2,0,2,2,2,5,202,203,204,1,0,1,0,0,0,0
47,11,12,24,34,0,0,5,1,0,0.0291,0.0396,1,0,1,1,4,0,186,191,190,0,0,0,0,0,1,0
47,11,13,37,22,0,0,5,2,1,0.0291,0.041,1,0,3,1,3,7,297,271,300,0,2,0,0,0,0,1
47,11,14,11,26,0,0,5,3,2,0.0304,0.041,1,0,5,1,15,4,325,325,340,1,1,1,2,0,0,0
47,11,15,35,24,0,0,5,2,0,0.0343,0.0436,1,0,2,1,8,2,244,258,252,0,0,1,0,0,0,1
47,11,16,38,35,0,0,7,0,1,0.033,0.0449,1,0,1,1,3,0,179,192,182,0,0,0,0,0,1,0
47,11,17,14,28,0,0,6,1,1,0.033,0.0462,0,0,2,0,7,1,165,164,172,1,0,0,1,0,0,0
47,11,18,29,21,0,0,7,0,0,0.0317,0.0462,2,0,0,2,2,0,136,137,138,0,0,0,0,0,0,0
47,11,19,23,22,1,6,7,0,1,0.0289,0.0395,2,9,1,11,1,0,91,108,92,0,0,0,1,0,0,0
47,11,20,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,1,0,85,77,86,0,0,0,0,0,0,0
47,11,21,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,4,74,88,74,0,0,0,0,0,0,0
47,11,22,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
47,11,23,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,0,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,1,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,2,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,3,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,4,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,0,0,20,14,20,0,0,0,0,0,0,0
47,12,5,0,0,0,0,0,0,0,0.0289,0.0395,0,0,0,0,3,0,15,16,18,0,0,0,0,0,0,0
47,12,6,12,26,1,0,4,1,0,0.0289,0.0395,0,0,1,0,0,1,44,38,44,0,0,1,0,0,0,0
47,12,7,32,17,0,0,7,0,2,0.0303,0.0421,0,0,2,0,0,0,56,53,56,0,0,0,1,0,1,0
47,12,8,13,32,0,0,6,0,1,0.0289,0.0421,1,0,1,1,2,0,98,91,100,0,0,0,0,0,1,0
47,12,9,26,16,0,0,5,0,0,0.0276,0.0434,1,0,0,1,0,1,156,149,156,0,0,0,0,0,0,0
47,12,10,15,25,0,0,4,2,0,0.0289,0.0434,1,0,2,1,7,2,169,166,176,0,2,0,0,0,0,0
47,12,11,30,30,0,0,6,0,1,0.0276,0.0447,1,0,1,1,11,0,177,165,188,0,0,1,0,0,0,0
47,12,12,28,28,0,0,6,3,0,0.0303,0.0447,1,0,3,1,12,0,200,203,212,1,0,1,0,1,0,0
47,12,13,34,27,0,0,7,0,0,0.0289,0.0447,1,0,0,1,4,0,186,194,190,0,0,0,0,0,0,0
47,12,14,34,28,0,0,7,1,0,0.0276,0.0447,1,0,1,1,0,1,210,207,210,0,1,0,0,0,0,0
47,12,15,19,24,0,0,5,0,0,0.0276,0.0447,1,0,0,1,2,1,180,183,182,0,0,0,0,0,0,0
47,12,16,20,18,0,0,5,0,1,0.0276,0.0461,0,0,1,0,1,1,203,192,204,0,1,0,0,0,0,0
47,12,17,7,17,0,0,5,0,0,0.0276,0.0461,0,0,0,0,2,0,116,130,118,0,0,0,0,0,0,0
47,12,18,21,21,0,0,6,0,0,0.0276,0.0461,0,0,0,0,1,0,115,122,116,0,0,0,0,0,0,0
47,12,19,22,11,1,9,6,0,0,0.0277,0.0343,0,6,0,6,5,0,75,81,80,0,0,0,0,0,0,0
47,12,20,0,0,0,0,0,1,1,0.0277,0.0357,0,0,2,0,0,0,52,61,52,1,0,1,0,0,0,0
47,12,21,0,0,0,0,0,0,1,0.0291,0.037,0,0,1,0,2,0,70,60,72,1,0,0,0,0,0,0
47,12,22,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
47,12,23,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,13,0,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,13,1,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,13,2,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,13,3,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,13,4,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,14,8,14,0,0,0,0,0,0,0
47,13,5,0,0,0,0,0,0,0,0.0291,0.037,0,0,0,0,0,0,18,17,18,0,0,0,0,0,0,0
47,13,6,31,29,1,0,6,0,0,0.0291,0.037,1,0,0,1,0,0,12,15,12,0,0,0,0,0,0,0
47,13,7,0,19,0,0,5,0,0,0.0238,0.037,3,0,0,3,0,0,32,32,32,0,0,0,0,0,0,0
47,13,8,31,18,0,0,4,0,0,0.0225,0.037,1,0,0,1,0,1,42,34,42,0,0,0,0,0,0,0
47,13,9,30,25,0,0,5,0,0,0.0225,0.037,0,0,0,0,0,0,78,77,78,0,0,0,0,0,0,0
47,13,10,9,25,0,0,4,0,0,0.0211,0.037,1,0,0,1,1,2,151,130,152,0,0,0,0,0,0,0
47,13,11,22,24,0,0,5,0,0,0.0211,0.037,0,0,0,0,6,0,90,105,96,0,0,0,0,0,0,0
47,13,12,28,21,0,0,6,0,1,0.0198,0.0383,1,0,1,1,2,1,142,137,144,0,0,0,0,0,1,0
47,13,13,20,16,0,0,5,0,0,0.0185,0.0383,1,0,0,1,3,1,211,189,214,0,0,0,0,0,0,0
47,13,14,21,32,0,0,5,0,0,0.0185,0.0383,0,0,0,0,1,0,143,165,144,0,0,0,0,0,0,0
47,13,15,30,30,0,0,6,0,1,0.0185,0.0396,0,0,1,0,1,0,183,173,184,0,0,0,0,1,0,0
47,13,16,22,22,0,0,4,0,0,0.0185,0.0396,0,0,0,0,1,2,151,154,152,0,0,0,0,0,0,0
47,13,17,13,13,0,0,5,0,0,0.0185,0.0396,0,0,0,0,1,1,115,119,116,0,0,0,0,0,0,0
47,13,18,30,20,0,0,5,0,0,0.0172,0.0396,1,0,0,1,1,0,141,146,142,0,0,0,0,0,0,0
47,13,19,20,20,1,10,5,0,1,0.0147,0.0281,2,0,1,2,0,0,74,77,74,0,0,0,0,0,1,0
47,13,20,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,0,56,64,56,0,0,0,0,0,0,0
47,13,21,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,3,0,39,44,42,0,0,0,0,0,0,0
47,13,22,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
47,13,23,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14,0,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14,1,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14,2,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14,3,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14,4,0,0,0,0,0,0,0,0.0147,0.0281,0,0,0,0,0,8,32,28,32,0,0,0,0,0,0,0
47,14,5,0,0,0,0,0,1,0,0.0161,0.0281,0,0,1,0,7,2,141,130,148,0,0,1,0,0,0,0
