seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
49,7,6,7,D0,True,19,0,19,0,0,0,0,0,0,[],3.0,S66,1.4,19,0,19,0.0,,-0.491278,-6.48652,-6.977798,True,True,5,S66,False,0,0.1693,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,26,S66,False,19,0,19,18,0,0,0,0,0,"['B18', 'B286', 'B707', 'B432', 'B618', 'B272', 'B129', 'B287', 'B605', 'B424', 'B439', 'B45', 'B50', 'B566', 'B339', 'B711', 'B295', 'B686']",12.0,S38,3.69,1,0,1,0.0,,-0.515082,-6.487428,-7.002509,True,False,36,S64,True,13,1.2981,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,42,S38,False,1,0,1,0,15,0,0,0,0,"['B44', 'B760', 'B553', 'B205', 'B400', 'B3', 'B319', 'B31', 'B399', 'B765', 'B149', 'B10', 'B158', 'B697', 'B724']",10.5,S26,9.12,16,0,16,0.0,,-0.47393,-6.483443,-6.957372,False,False,18,S27,True,7,0.6626,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,1,S26,False,16,0,16,16,0,0,0,0,0,"['B163', 'B44', 'B760', 'B553', 'B205', 'B400', 'B3', 'B319', 'B31', 'B399', 'B765', 'B149', 'B10', 'B158', 'B697', 'B724']",11.0,S35,6.42,0,0,0,0.0,,-0.319431,-6.350308,-6.669739,False,False,12,S45,True,6,0.3645,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,19,S35,False,0,0,0,0,15,0,1,0,0,"['B240', 'B242', 'B269', 'B654', 'B641', 'B297', 'B494', 'B367', 'B729', 'B304', 'B336', 'B291', 'B621', 'B734', 'B80', 'B265']",11.0,S27,6.86,15,1,16,0.0,,-0.201628,-6.282174,-6.483802,True,True,36,S3,True,19,0.8256,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,37,S27,False,15,1,16,15,0,0,0,0,0,"['B240', 'B242', 'B269', 'B654', 'B641', 'B297', 'B494', 'B367', 'B729', 'B304', 'B336', 'B291', 'B621', 'B734', 'B80']",10.5,S54,4.59,0,1,1,0.0,,-0.183548,-6.239792,-6.423341,False,False,12,S45,True,7,0.3674,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,52,S54,False,0,1,1,0,13,0,0,0,0,"['B593', 'B333', 'B577', 'B403', 'B662', 'B461', 'B528', 'B688', 'B626', 'B575', 'B586', 'B752', 'B263']",9.5,S15,3.9,13,1,14,0.0,,-0.182858,-6.189305,-6.372163,True,False,72,S46,True,52,1.735,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,5,S15,False,13,1,14,13,0,0,0,0,0,"['B593', 'B333', 'B577', 'B403', 'B662', 'B461', 'B528', 'B688', 'B626', 'B575', 'B586', 'B752', 'B263']",9.5,S46,5.48,0,1,1,0.0,,-0.148317,-6.219799,-6.368116,False,False,12,S46,False,10,0.2905,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,20,S46,False,0,1,1,0,13,0,0,0,0,"['B496', 'B480', 'B555', 'B512', 'B123', 'B572', 'B96', 'B655', 'B521', 'B324', 'B276', 'B81', 'B250']",9.5,S40,3.01,13,1,14,0.0,,-0.177271,-6.245327,-6.422598,False,False,18,S52,True,13,0.481,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,33,S40,False,13,1,14,12,0,0,0,0,0,"['B496', 'B480', 'B555', 'B512', 'B123', 'B572', 'B96', 'B655', 'B521', 'B324', 'B276', 'B81']",9.0,S37,3.31,1,1,2,0.0,,-0.212518,-6.224603,-6.437121,True,False,36,S52,True,13,0.8135,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,45,S37,False,1,1,2,0,18,0,0,0,0,"['B13', 'B370', 'B740', 'B709', 'B672', 'B38', 'B88', 'B19', 'B404', 'B755', 'B443', 'B592', 'B231', 'B290', 'B162', 'B518', 'B364', 'B466']",12.0,S31,2.81,19,1,20,0.0,,-0.159176,-6.263381,-6.422558,False,False,12,S34,True,7,0.3136,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,0,S31,False,19,1,20,19,0,0,0,0,0,"['B250', 'B13', 'B370', 'B740', 'B709', 'B672', 'B38', 'B88', 'B19', 'B404', 'B755', 'B443', 'B592', 'B231', 'B290', 'B162', 'B518', 'B364', 'B466']",12.5,S28,9.18,0,1,1,0.0,,-0.200849,-6.175222,-6.37607,False,False,12,D0,True,9,0.5142,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,21,S28,False,0,1,1,0,0,0,0,0,0,[],3.0,S63,13.3,0,1,1,0.0,,-0.242448,-6.240077,-6.482526,False,False,18,S62,True,3,0.6487,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,38,S63,False,0,1,1,0,17,0,0,0,0,"['B2', 'B733', 'B710', 'B305', 'B607', 'B386', 'B91', 'B611', 'B63', 'B681', 'B732', 'B254', 'B280', 'B435', 'B283', 'B428', 'B95']",11.5,S29,5.25,17,1,18,0.0,,-0.236742,-6.263188,-6.499931,True,False,36,S62,True,24,1.3815,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,54,S29,False,17,1,18,17,0,0,0,0,0,"['B2', 'B733', 'B710', 'B305', 'B607', 'B386', 'B91', 'B611', 'B63', 'B681', 'B732', 'B254', 'B280', 'B435', 'B283', 'B428', 'B95']",11.5,S62,3.79,0,1,1,0.0,,-0.25367,-6.199393,-6.453063,False,False,12,S32,True,7,0.3625,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,10,S62,False,0,1,1,0,17,0,0,0,0,"['B705', 'B126', 'B753', 'B627', 'B191', 'B177', 'B394', 'B661', 'B122', 'B313', 'B519', 'B266', 'B99', 'B134', 'B420', 'B699', 'B42']",11.5,S17,7.52,17,1,18,0.0,,-0.153724,-6.37315,-6.526873,False,False,18,D0,True,12,0.6257,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,29,S17,False,17,1,18,13,0,0,0,0,0,"['B705', 'B126', 'B753', 'B627', 'B191', 'B177', 'B394', 'B661', 'B122', 'B313', 'B519', 'B266', 'B99']",9.5,S32,9.65,4,1,5,0.0,,-0.18316,-6.398698,-6.581858,False,False,18,S13,True,14,0.5613,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,48,S32,False,4,1,5,0,14,0,0,0,0,"['B325', 'B485', 'B365', 'B409', 'B282', 'B185', 'B23', 'B630', 'B418', 'B113', 'B202', 'B529', 'B479', 'B160']",10.0,S26,7.72,18,1,19,0.0,,-0.206992,-6.380349,-6.587342,False,False,18,S61,True,10,0.7955,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,6,S26,False,18,1,19,18,0,0,0,0,0,"['B134', 'B420', 'B699', 'B42', 'B325', 'B485', 'B365', 'B409', 'B282', 'B185', 'B23', 'B630', 'B418', 'B113', 'B202', 'B529', 'B479', 'B160']",12.0,S37,7.79,0,1,1,0.0,,-0.212534,-6.263569,-6.476104,False,False,12,S52,True,6,0.3069,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,25,S37,False,0,1,1,0,16,0,0,0,0,"['B180', 'B445', 'B49', 'B59', 'B270', 'B606', 'B448', 'B392', 'B507', 'B431', 'B240', 'B131', 'B605', 'B170', 'B424', 'B317']",11.0,S50,7.46,16,1,17,0.0,,-0.224175,-6.260284,-6.484459,False,False,18,D0,True,6,0.6978,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,44,S50,False,16,1,17,16,0,0,0,0,0,"['B180', 'B445', 'B49', 'B59', 'B270', 'B606', 'B448', 'B392', 'B507', 'B431', 'B240', 'B131', 'B605', 'B170', 'B424', 'B317']",11.0,S52,6.29,0,1,1,0.0,,-0.242193,-6.292898,-6.535091,False,False,12,S52,False,6,0.3228,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,1,S52,False,0,1,1,0,11,0,0,0,0,"['B407', 'B65', 'B534', 'B639', 'B349', 'B31', 'B347', 'B531', 'B423', 'B443', 'B637']",8.5,S29,5.05,11,1,12,0.0,,-0.207262,-6.338863,-6.546124,False,False,18,S16,True,6,1.0615,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,15,S29,False,11,1,12,11,0,0,0,0,0,"['B407', 'B65', 'B534', 'B639', 'B349', 'B31', 'B347', 'B531', 'B423', 'B443', 'B637']",8.5,S28,13.05,0,1,1,0.0,,-0.354365,-6.308125,-6.66249,False,False,12,S28,False,10,0.527,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,36,S28,False,0,1,1,0,16,0,0,0,0,"['B234', 'B379', 'B174', 'B275', 'B535', 'B537', 'B230', 'B751', 'B143', 'B137', 'B706', 'B352', 'B165', 'B109', 'B487', 'B717']",11.0,S10,12.51,16,1,17,0.0,,-0.295175,-6.319866,-6.615041,False,False,18,D0,True,9,0.6919,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,0,S10,False,16,1,17,11,0,0,0,0,0,"['B234', 'B379', 'B174', 'B275', 'B535', 'B537', 'B230', 'B751', 'B143', 'B137', 'B706']",8.5,S56,2.55,5,1,6,0.0,,-0.413969,-6.340015,-6.753983,True,False,36,S36,True,25,0.9545,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,11,S56,False,5,1,6,5,0,2,0,0,0,"['B352', 'B165', 'B109', 'B487', 'B717']",11.5,S12,7.46,0,1,1,0.0,,-0.354392,-6.270163,-6.624555,True,True,36,S12,False,30,1.3277,delivery+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,30,S12,False,0,1,1,0,13,0,0,0,0,"['B173', 'B7', 'B682', 'B601', 'B40', 'B649', 'B558', 'B116', 'B163', 'B366', 'B477', 'B547', 'B709']",9.5,S29,9.35,13,1,14,0.0,,-0.176927,-6.274369,-6.451296,False,False,18,S9,True,6,0.7565,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,49,S29,False,13,1,14,13,0,0,0,0,0,"['B173', 'B7', 'B682', 'B601', 'B40', 'B649', 'B558', 'B116', 'B163', 'B366', 'B477', 'B547', 'B709']",9.5,S33,4.32,0,1,1,0.0,,-0.28971,-6.25856,-6.54827,False,False,12,S33,False,10,0.4242,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,2,S33,False,0,1,1,0,14,0,0,0,0,"['B532', 'B188', 'B156', 'B211', 'B127', 'B393', 'B667', 'B577', 'B530', 'B442', 'B328', 'B5', 'B134', 'B613']",10.0,S60,3.7,14,1,15,0.0,,-0.195488,-6.164446,-6.359934,False,False,18,S53,True,6,1.0111,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,16,S60,False,14,1,15,14,0,0,0,0,0,"['B532', 'B188', 'B156', 'B211', 'B127', 'B393', 'B667', 'B577', 'B530', 'B442', 'B328', 'B5', 'B134', 'B613']",10.0,S31,0.89,0,1,1,0.0,,-0.324835,-6.204187,-6.529022,True,False,24,S16,True,14,1.0545,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,27,S31,False,0,1,1,0,19,0,0,0,0,"['B297', 'B280', 'B641', 'B736', 'B251', 'B210', 'B697', 'B162', 'B623', 'B656', 'B325', 'B63', 'B536', 'B574', 'B388', 'B701', 'B198', 'B637', 'B688']",12.5,S4,2.07,19,1,20,0.0,,-0.401684,-6.247414,-6.649098,False,False,18,D0,True,14,0.8345,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,42,S4,False,19,1,20,0,0,0,0,0,0,[],3.0,S42,9.3,19,1,20,0.0,,-0.379413,-6.284648,-6.664061,True,False,30,S54,True,3,0.7616,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,54,S42,False,19,1,20,17,0,0,0,0,0,"['B297', 'B280', 'B641', 'B736', 'B251', 'B210', 'B697', 'B162', 'B623', 'B656', 'B325', 'B63', 'B536', 'B574', 'B388', 'B701', 'B198']",11.5,S62,6.87,2,1,3,0.0,,-0.544716,-6.294147,-6.838862,True,False,54,S54,True,6,2.9214,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,12,S62,False,2,1,3,0,17,0,0,0,0,"['B766', 'B324', 'B581', 'B236', 'B669', 'B195', 'B81', 'B128', 'B557', 'B708', 'B626', 'B43', 'B722', 'B439', 'B742', 'B618', 'B52']",11.5,S4,2.49,19,1,20,0.0,,-0.290025,-6.336552,-6.626577,False,False,18,S4,True,14,0.8031,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,26,S4,False,19,1,20,9,0,0,0,0,0,"['B637', 'B688', 'B766', 'B324', 'B581', 'B236', 'B669', 'B195', 'B81']",7.5,S37,0.75,10,1,11,0.0,,-0.383559,-6.334176,-6.717735,True,False,30,S37,True,7,0.6189,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,35,S37,False,10,1,11,0,0,0,0,0,0,[],3.0,S15,4.99,10,1,11,0.0,,-0.336929,-6.311069,-6.647999,False,False,12,S63,True,1,0.642,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,43,S15,False,10,1,11,10,0,0,0,0,0,"['B128', 'B557', 'B708', 'B626', 'B43', 'B722', 'B439', 'B742', 'B618', 'B52']",8.0,S12,10.6,0,1,1,0.0,,-0.413742,-6.285309,-6.699051,False,False,12,S12,False,7,0.4227,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,1,S12,False,0,1,1,0,14,0,0,0,0,"['B414', 'B326', 'B164', 'B546', 'B312', 'B60', 'B250', 'B617', 'B419', 'B422', 'B346', 'B403', 'B465', 'B117']",10.0,S35,9.87,14,1,15,0.0,,-0.242797,-6.202458,-6.445255,True,False,36,S48,True,28,1.0605,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,21,S35,False,14,1,15,0,0,0,0,0,0,[],3.0,S57,0.73,14,1,15,0.0,,-0.159715,-6.157529,-6.317243,False,False,18,S54,True,4,0.7106,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,25,S57,False,14,1,15,12,0,1,0,0,0,"['B414', 'B326', 'B164', 'B546', 'B312', 'B60', 'B250', 'B617', 'B419', 'B422', 'B346', 'B403']",12.0,S48,7.56,2,1,3,0.0,,-0.136197,-6.150162,-6.28636,True,True,36,S48,True,19,1.6822,delivery+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,44,S48,False,2,1,3,0,9,0,0,0,0,"['B471', 'B26', 'B238', 'B253', 'B412', 'B283', 'B587', 'B88', 'B404']",7.5,S54,6.34,11,1,12,0.0,,-0.165663,-6.044705,-6.210368,True,False,36,S33,True,26,1.5103,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,58,S54,False,11,1,12,11,0,0,0,0,0,"['B465', 'B117', 'B471', 'B26', 'B238', 'B253', 'B412', 'B283', 'B587', 'B88', 'B404']",8.5,S33,3.1,0,1,1,0.0,,-0.176852,-6.112995,-6.289847,True,False,48,S53,True,25,2.0589,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,10,S33,False,0,1,1,0,14,0,0,0,0,"['B332', 'B252', 'B119', 'B451', 'B761', 'B655', 'B379', 'B382', 'B426', 'B704', 'B592', 'B308', 'B614', 'B7']",10.0,S26,6.45,14,1,15,0.0,,-0.165558,-6.103891,-6.269449,False,False,18,S51,True,6,1.1135,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,26,S26,False,14,1,15,14,0,0,0,0,0,"['B332', 'B252', 'B119', 'B451', 'B761', 'B655', 'B379', 'B382', 'B426', 'B704', 'B592', 'B308', 'B614', 'B7']",10.0,S51,11.22,0,1,1,0.0,,-0.159565,-6.144948,-6.304513,False,False,12,S66,True,8,0.8134,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,47,S51,False,0,1,1,0,9,2,0,0,0,"['B390', 'B720', 'B356', 'B111', 'B215', 'B256', 'B619', 'B76', 'B563']",13.5,S19,1.21,9,1,10,0.0,,-0.159564,-6.165479,-6.325043,True,True,108,D0,True,99,5.8365,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,2,S19,False,9,1,10,7,0,0,0,0,0,"['B390', 'B720', 'B356', 'B111', 'B215', 'B256', 'B619']",6.5,S40,7.09,2,1,3,0.0,,-0.159715,-6.266192,-6.425907,True,False,36,S52,True,24,1.3884,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,16,S40,False,2,1,3,0,9,1,0,0,0,"['B257', 'B528', 'B78', 'B92', 'B489', 'B278', 'B386', 'B588', 'B22']",10.5,S44,2.76,11,1,12,0.0,,-0.147926,-6.230053,-6.377979,True,True,72,S43,True,61,3.3342,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,29,S44,False,11,1,12,11,0,0,0,0,0,"['B76', 'B563', 'B257', 'B528', 'B78', 'B92', 'B489', 'B278', 'B386', 'B588', 'B22']",8.5,S52,0.83,0,1,1,0.0,,-0.076937,-6.24527,-6.322207,True,False,216,S37,True,146,4.7515,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,38,S52,False,0,1,1,0,8,0,0,0,0,"['B101', 'B654', 'B454', 'B204', 'B342', 'B518', 'B696', 'B311']",7.0,S43,1.59,8,1,9,0.0,,-0.070855,-6.319014,-6.389869,False,False,18,S43,False,6,0.8368,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,47,S43,False,8,1,9,0,11,0,0,0,0,"['B508', 'B212', 'B585', 'B565', 'B526', 'B347', 'B387', 'B240', 'B239', 'B479', 'B251']",8.5,S58,1.78,19,1,20,0.0,,-0.088485,-6.256176,-6.344661,False,False,12,S10,True,9,0.6956,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,57,S58,False,19,1,20,16,0,0,0,0,0,"['B101', 'B654', 'B454', 'B204', 'B342', 'B518', 'B696', 'B311', 'B508', 'B212', 'B585', 'B565', 'B526', 'B347', 'B387', 'B240']",11.0,S50,8.14,3,1,4,0.0,,-0.082255,-6.251841,-6.334096,False,False,18,S29,True,9,0.6217,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,16,S50,False,3,1,4,0,0,0,0,0,0,[],3.0,S65,9.57,3,1,4,0.0,,-0.124181,-6.211198,-6.335379,False,False,12,S42,True,2,0.5531,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,29,S65,False,3,1,4,0,15,0,0,0,0,"['B53', 'B517', 'B37', 'B174', 'B661', 'B54', 'B98', 'B389', 'B623', 'B127', 'B134', 'B317', 'B591', 'B701', 'B120']",10.5,S24,5.83,18,1,19,0.0,,-0.070735,-6.172397,-6.243131,False,False,13,S44,True,8,0.6931,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,45,S24,False,18,1,19,11,0,0,0,0,0,"['B239', 'B479', 'B251', 'B53', 'B517', 'B37', 'B174', 'B661', 'B54', 'B98', 'B389']",8.5,D0,4.15,7,1,8,0.0,,-0.082869,-6.206265,-6.289134,False,False,3,D0,False,1,0.1151,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,58,D0,True,7,1,8,1,0,0,0,1,11,"['B330', 'B178', 'B492', 'B135', 'B647', 'B288', 'B216', 'B527', 'B488', 'B30', 'B108', 'B265']",9.5,D0,0.0,17,0,17,0.0,,-0.070764,-6.251862,-6.322626,True,True,1,D0,False,0,0.0644,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,6,16,D0,True,18,0,18,0,0,0,0,0,0,[],3.0,S65,3.15,18,0,18,0.0,,-0.532861,-6.475358,-7.008219,True,True,5,S40,True,2,0.1631,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,6,37,S65,False,18,0,18,18,0,0,0,0,0,"['B623', 'B127', 'B134', 'B317', 'B591', 'B701', 'B120', 'B330', 'B178', 'B492', 'B135', 'B647', 'B288', 'B216', 'B527', 'B488', 'B30', 'B108']",12.0,S39,5.08,0,0,0,0.0,,-0.50352,-6.50137,-7.00489,False,False,12,S52,True,6,0.3839,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,6,55,S39,False,0,0,0,0,20,0,0,0,0,"['B167', 'B491', 'B448', 'B287', 'B418', 'B632', 'B81', 'B482', 'B304', 'B117', 'B762', 'B259', 'B365', 'B683', 'B224', 'B279', 'B734', 'B467', 'B485', 'B239']",13.0,S40,6.46,20,0,20,0.0,,-0.472858,-6.50629,-6.979148,False,False,12,S34,True,10,0.4302,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,7,14,S40,False,20,0,20,8,0,0,0,0,0,"['B167', 'B491', 'B448', 'B287', 'B418', 'B632', 'B81', 'B482']",7.0,S26,5.09,12,0,12,0.0,,-0.438324,-6.48546,-6.923784,True,False,30,S26,True,8,0.793,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,7,26,S26,False,12,0,12,12,0,0,0,0,0,"['B304', 'B117', 'B762', 'B259', 'B365', 'B683', 'B224', 'B279', 'B734', 'B467', 'B485', 'B239']",9.0,S55,6.67,0,0,0,0.0,,-0.472388,-6.4664,-6.938788,False,False,12,S42,True,6,0.4552,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,7,42,S55,False,0,0,0,0,15,0,0,0,0,"['B420', 'B617', 'B742', 'B526', 'B347', 'B133', 'B201', 'B630', 'B25', 'B234', 'B377', 'B699', 'B122', 'B560', 'B59']",10.5,S54,0.95,15,0,15,0.0,,-0.31374,-6.433226,-6.746966,True,False,54,S54,False,18,2.2426,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
