seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,6,23,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,-25,-24,-17,-29,-15,-12,-7
47,7,0,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,2,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,3,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,4,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,1,34,27,34,0,0,0,0,0,0,0
47,7,5,0,0,0,0,0,1,2,0.0147,0.0347,0,0,3,0,12,1,178,157,190,1,0,0,0,0,0,2
47,7,6,0,20,1,0,3,1,0,0.0134,0.0347,2,0,1,2,10,3,182,171,192,0,0,0,0,0,1,0
47,7,7,44,27,0,0,6,1,0,0.0147,0.0347,0,0,1,0,4,2,150,167,154,0,0,1,0,0,0,0
47,7,8,29,26,0,0,4,0,0,0.0147,0.0347,0,0,0,0,6,0,100,103,106,0,0,0,0,0,0,0
47,7,9,12,32,0,0,4,1,0,0.016,0.0347,0,0,1,0,5,3,161,149,166,0,1,0,0,0,0,0
47,7,10,38,18,0,0,5,1,0,0.0174,0.0347,0,0,1,0,11,1,175,178,186,0,1,0,0,0,0,0
47,7,11,20,40,0,0,4,0,1,0.0174,0.036,0,0,1,0,1,6,155,155,156,0,0,0,0,0,1,0
47,7,12,22,22,0,0,4,1,1,0.0187,0.036,0,0,2,0,1,3,243,237,244,0,0,1,0,1,0,0
47,7,13,36,28,0,0,5,2,0,0.02,0.0374,0,0,2,0,9,9,229,229,238,0,0,1,1,0,0,0
47,7,14,36,26,0,0,5,1,1,0.0214,0.0387,0,0,2,0,32,5,332,307,364,0,1,0,0,0,1,0
47,7,15,8,26,0,0,4,2,1,0.0214,0.0401,2,0,3,2,6,16,234,249,240,3,0,0,0,0,0,0
47,7,16,36,36,0,0,6,0,1,0.0227,0.0401,0,0,1,0,26,6,182,186,208,0,0,1,0,0,0,0
47,7,17,30,19,0,0,4,1,2,0.024,0.0427,0,0,3,0,1,9,163,172,164,0,1,0,1,0,1,0
47,7,18,27,31,0,0,6,0,0,0.024,0.0441,0,0,0,0,2,0,168,172,170,0,0,0,0,0,0,0
47,7,19,21,20,1,2,8,0,1,0.0237,0.0422,0,12,1,12,2,2,104,109,106,0,0,0,1,0,0,0
47,7,20,0,0,0,0,0,1,0,0.025,0.0422,0,0,1,0,2,0,70,83,72,1,0,0,0,0,0,0
47,7,21,0,0,0,0,0,0,0,0.025,0.0422,0,0,0,0,1,0,53,52,54,0,0,0,0,0,0,0
47,7,22,0,0,0,0,0,0,0,0.025,0.0422,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.025,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.025,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.025,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.025,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.025,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,1,0,0.0264,0.0422,0,0,1,0,1,0,51,45,52,0,0,0,1,0,0,0
47,8,5,0,0,0,0,0,0,1,0.0264,0.0435,0,0,1,0,19,0,203,170,222,0,0,0,1,0,0,0
47,8,6,13,17,1,0,4,0,1,0.025,0.0448,1,0,1,1,29,7,191,199,220,1,0,0,0,0,0,0
47,8,7,27,43,0,0,5,0,1,0.025,0.0461,0,0,1,0,7,3,105,120,112,0,0,0,1,0,0,0
47,8,8,31,31,0,0,5,0,0,0.025,0.0461,0,0,0,0,4,0,132,121,136,0,0,0,0,0,0,0
47,8,9,37,34,0,0,4,3,0,0.0277,0.0461,1,0,3,1,4,2,160,151,164,0,1,1,0,0,1,0
47,8,10,27,30,0,0,7,0,0,0.0277,0.0461,0,0,0,0,5,4,151,159,156,0,0,0,0,0,0,0
47,8,11,30,12,0,0,3,1,1,0.0277,0.0474,1,0,2,1,4,2,186,181,190,0,1,0,0,0,0,1
47,8,12,21,30,0,0,5,1,1,0.0277,0.0487,1,0,2,1,11,3,225,209,236,1,0,0,1,0,0,0
47,8,13,22,23,0,0,5,1,2,0.025,0.0501,3,0,3,3,29,3,235,238,264,0,0,0,2,0,1,0
47,8,14,31,39,0,0,6,1,0,0.0237,0.0514,2,0,1,2,25,8,341,324,366,0,0,0,1,0,0,0
47,8,15,36,18,0,0,4,3,2,0.0237,0.0527,1,0,5,1,8,10,212,227,220,0,2,2,1,0,0,0
47,8,16,18,35,0,0,3,1,1,0.0277,0.0553,0,0,2,0,14,15,178,187,192,0,1,0,0,0,1,0
47,8,17,22,23,0,0,5,1,2,0.0264,0.058,2,0,3,2,3,5,139,149,142,0,0,0,1,1,0,1
47,8,18,28,28,0,0,5,1,0,0.0264,0.058,1,0,1,1,1,4,113,129,114,1,0,0,0,0,0,0
47,8,19,29,21,1,2,6,0,0,0.0262,0.055,0,7,0,7,1,7,91,88,92,0,0,0,0,0,0,0
47,8,20,0,0,0,0,0,3,0,0.0288,0.055,0,0,3,0,5,6,93,88,98,0,0,0,0,1,1,1
47,8,21,0,0,0,0,0,0,1,0.0301,0.0563,0,0,1,0,6,7,48,61,54,0,0,1,0,0,0,0
47,8,22,0,0,0,0,0,0,0,0.0301,0.0563,0,0,0,0,0,2,2,10,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.0301,0.0563,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.0301,0.0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.0301,0.0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.0301,0.0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.0301,0.0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,2,0.0301,0.0576,0,0,2,0,2,0,34,28,36,0,0,0,1,0,1,0
47,9,5,0,0,0,0,0,0,0,0.0301,0.0589,0,0,0,0,5,2,179,149,184,0,0,0,0,0,0,0
47,9,6,8,23,1,0,4,0,2,0.0301,0.0615,0,0,2,0,16,3,188,196,204,0,0,0,1,0,1,0
47,9,7,29,29,0,0,6,1,0,0.0314,0.0615,0,0,1,0,19,0,115,126,134,0,0,0,0,0,1,0
47,9,8,29,19,0,0,7,0,1,0.0314,0.0628,0,0,1,0,14,5,136,125,150,0,0,1,0,0,0,0
47,9,9,25,21,0,0,4,0,0,0.0275,0.0628,3,0,0,3,8,5,158,154,166,0,0,0,0,0,0,0
47,9,10,21,30,0,0,8,0,0,0.0223,0.0628,4,0,0,4,10,0,144,150,154,0,0,0,0,0,0,0
47,9,11,23,26,0,0,5,0,1,0.0223,0.0641,0,0,1,0,2,0,150,143,152,0,0,1,0,0,0,0
47,9,12,15,5,0,0,4,1,0,0.0209,0.0641,2,0,1,2,14,1,192,194,206,0,0,0,1,0,0,0
47,9,13,23,27,0,0,5,0,1,0.0209,0.0641,0,0,1,0,8,2,294,273,302,1,0,0,0,0,0,0
47,9,14,22,30,0,0,6,3,3,0.0249,0.0668,0,0,6,0,10,14,316,310,326,1,1,0,1,0,3,0
47,9,15,19,19,0,0,3,0,0,0.0249,0.0694,0,0,0,0,5,4,245,253,250,0,0,0,0,0,0,0
47,9,16,32,15,0,0,5,1,0,0.0262,0.0694,0,0,1,0,10,6,210,214,220,0,1,0,0,0,0,0
47,9,17,20,37,0,0,6,0,0,0.0249,0.0694,1,0,0,1,6,10,202,204,208,0,0,0,0,0,0,0
47,9,18,35,22,0,0,6,1,3,0.0236,0.0733,2,0,4,2,2,2,154,172,156,0,1,2,0,1,0,0
47,9,19,17,30,1,3,5,1,0,0.025,0.0696,0,0,1,0,1,1,105,107,106,0,1,0,0,0,0,0
47,9,20,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,0,0,122,118,122,0,0,0,0,0,0,0
47,9,21,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,1,1,89,107,90,0,0,0,0,0,0,0
47,9,22,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
47,9,23,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,0,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,1,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,2,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,3,0,0,0,0,0,0,0,0.025,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,4,0,0,0,0,0,0,1,0.025,0.0696,0,0,1,0,0,3,40,34,40,0,0,0,1,0,0,0
47,10,5,0,0,0,0,0,0,0,0.025,0.071,0,0,0,0,5,16,179,147,184,0,0,0,0,0,0,0
47,10,6,27,15,1,0,4,0,0,0.0249,0.0708,0,2,0,2,11,8,187,199,198,0,0,0,0,0,0,0
47,10,7,22,24,0,0,5,1,0,0.0236,0.0708,2,0,1,2,9,3,137,145,146,0,0,0,1,0,0,0
47,10,8,24,36,0,0,6,0,0,0.0223,0.0708,1,0,0,1,5,0,111,114,116,0,0,0,0,0,0,0
