Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 07:00.000000;;0.7083392143249512;1;1;;;;8;;2;;;;;0;0;;4;
Mon 07:01.000000;;0.7083392143249512;1;1;;;;26;;2;;;;;0;0;;13;
Mon 07:02.000000;;0.7083392143249512;1;1;;;;34;;2;;;;;0;0;;17;
Mon 07:03.000000;;0.7083392143249512;1;1;;;;48;;2;;;;;0;0;;24;
Mon 07:04.000000;;0.7083392143249512;1;1;;;;64;;2;;;;;0;0;;32;
Mon 07:05.000000;;0.7083392143249512;1;1;;;;78;;2;;;;;0;0;;39;
Mon 07:06.000000;;0.7083392143249512;1;1;;;;92;;2;;;;;0;0;;46;
Mon 07:07.000000;;0.7083392143249512;1;1;;;;104;;2;;;;;0;0;;52;
Mon 07:08.000000;;0.7083392143249512;1;1;;;;116;;2;;;;;0;0;;58;
Mon 07:09.000000;;0.7083392143249512;1;1;;;;144;;2;;;;;0;0;;72;
Mon 07:10.000000;;0.7083392143249512;1;1;;;;150;;2;;;;;0;0;;75;
Mon 07:11.000000;;0.7083392143249512;1;1;;;;160;;2;;;;;0;0;;80;
Mon 07:12.000000;;0.7083392143249512;1;1;;;;168;;2;;;;;0;0;;84;
Mon 07:13.000000;;0.7083392143249512;1;1;;;;176;;2;;;;;0;0;;88;
Mon 07:14.000000;;0.7083392143249512;1;1;;;;186;;2;;;;;0;0;;93;
Mon 07:15.000000;1;0.7083392143249512;1;1;;;;209;;2;;;;;0;0;1;105;
Mon 07:16.000000;1;0.7083392143249512;1;1;;;;225;;2;;;;;0;0;1;113;
Mon 07:17.000000;1;0.7083392143249512;1;1;;;;229;;2;;;;;0;0;1;115;
Mon 07:18.000000;1;0.7083392143249512;1;1;;;;247;;2;;;;;0;0;1;124;
Mon 07:19.000000;1;0.7083392143249512;1;1;;;;257;;2;;;;;0;0;1;129;
Mon 07:19.447757;1;1.2251362800598145;1;2;;;;257;;3;;;;;0;0;1;129;
Mon 07:20.000000;1;1.2251362800598145;1;2;;;;277;;3;;;;;0;0;1;139;
Mon 07:21.000000;1;1.2251362800598145;1;2;;;;297;;3;0.3941414342823789;;1;;0;0;1;149;
Mon 07:22.000000;1;1.2251362800598145;1;2;;;;309;;3;0.3941414342823789;;1;;0;0;1;155;
Mon 07:22.894471;1;1.7262694835662842;2;2;;;;309;;4;0.3941414342823789;;1;;0;0;1;155;
Mon 07:23.000000;1;1.7262694835662842;2;2;;;;319;;4;0.3941414342823789;;1;;0;0;1;160;
Mon 07:24.000000;1;1.7262694835662842;2;2;;;;329;;4;0.3941414342823789;;1;;0;0;1;165;
Mon 07:25.000000;1;1.7262694835662842;2;2;;;;353;;4;0.3941414342823789;;1;;0;0;1;177;
Mon 07:26.000000;1;1.7262694835662842;2;2;;;;365;;4;0.3941414342823789;;1;;0;0;1;183;
Mon 07:27.000000;1;1.7262694835662842;2;2;;;;377;;4;0.3941414342823789;;1;;0;0;1;189;
Mon 07:28.000000;1;1.7262694835662842;2;2;;;;387;;4;0.3941414342823789;;1;;0;0;1;194;
Mon 07:29.000000;1;1.7262694835662842;2;2;;;;403;;4;0.3941414342823789;;1;;0;0;1;202;
Mon 07:30.000000;1;1.7262694835662842;2;2;;;;417;;4;0.3941414342823789;;1;;0;0;1;209;
Mon 07:31.000000;1;1.7262694835662842;2;2;;;;427;;4;0.3941414342823789;;1;;0;0;1;214;
Mon 07:31.909452;1;2.14630389213562;2;2;;;1;427;;5;0.3941414342823789;;1;;0;0;1;214;
Mon 07:32.000000;1;2.14630389213562;2;2;;;1;445;;5;0.3941414342823789;;1;;0;0;1;223;
Mon 07:33.000000;2;2.14630389213562;2;2;;;1;456;;5;0.6330854429357952;;2;;0;0;2;229;
Mon 07:34.000000;2;2.14630389213562;2;2;;;1;470;;5;0.6330854429357952;;2;;0;0;2;236;
Mon 07:35.000000;3;2.14630389213562;2;2;;;1;475;;5;0.6330854429357952;;2;;0;0;3;239;
Mon 07:36.000000;3;2.14630389213562;2;2;;;1;483;;5;0.6330854429357952;;2;;0;0;3;243;
Mon 07:37.000000;3;2.14630389213562;2;2;;;1;505;;5;0.6330854429357952;;2;;0;0;3;254;
Mon 07:38.000000;4;2.14630389213562;2;2;;;1;522;;5;0.6330854429357952;;2;;0;0;4;263;
Mon 07:38.798835;4;2.5460681915283203;3;2;;;1;522;;6;0.6330854429357952;;2;;0;0;4;263;
Mon 07:39.000000;4;2.5460681915283203;3;2;;;1;524;;6;1.027226877218174;;3;;0;0;4;264;
Mon 07:40.000000;4;2.5460681915283203;3;2;;;1;534;;6;1.027226877218174;;3;;0;0;4;269;
Mon 07:41.000000;4;2.5460681915283203;3;2;;;1;546;;6;1.027226877218174;;3;;0;0;4;275;
Mon 07:42.000000;4;2.5460681915283203;3;2;;;1;556;;6;1.027226877218174;;3;;0;0;4;280;
Mon 07:43.000000;4;2.5460681915283203;3;2;;;1;572;;6;1.027226877218174;;3;;0;0;4;288;
Mon 07:44.000000;4;2.5460681915283203;3;2;;;1;582;;6;1.027226877218174;;3;;0;0;4;293;
Mon 07:45.000000;4;2.5460681915283203;3;2;;;1;594;;6;1.027226877218174;;3;;0;0;4;299;
Mon 07:46.000000;4;2.5460681915283203;3;2;;;1;606;;6;1.2661708858715903;;4;;0;0;4;305;
