episode,service_level,bias,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.923909226215362,-2.540276222356502,-0.02083184005324729,-0.009046804102259921,-0.006540001176100487,-0.00378180672760318,0.01,0.01,0.0,0.97,100,11,0,11
1,0.9214304929719551,-2.580429841262286,-0.04135219254516388,-0.01819702107481063,-0.01295516144733494,-0.0072699184007678115,0.009708,0.01,0.0,0.97,100,11,0,11
2,0.9208718670419515,-2.619927710035173,-0.06127424509758256,-0.027086605984386027,-0.01904307615493616,-0.010736736272112324,0.009432,0.01,0.0,0.97,100,11,0,11
3,0.9276596456594114,-2.6553545252532116,-0.07893024599609354,-0.03477001998637114,-0.02452598469934103,-0.01376126021816537,0.009172,0.01,0.0,0.97,100,11,0,11
4,0.9217248691272945,-2.6929409441344774,-0.098381025943818,-0.04342310752831407,-0.030618543240953824,-0.017012776001384605,0.008925,0.01,0.0,0.97,100,11,0,11
5,0.9187506276991062,-2.7305601724526047,-0.11781172082806406,-0.05183276334468214,-0.0364127979927303,-0.02047151329432955,0.008692,0.01,0.0,0.97,100,11,0,11
6,0.926636435663593,-2.7629492410317007,-0.13429233671113847,-0.05896053225730353,-0.0413876043565104,-0.023317060899839547,0.00847,0.01,0.0,0.97,100,11,0,11
7,0.9225348576402257,-2.7965149022101654,-0.15155333720578834,-0.06661456110981138,-0.04657178348945613,-0.026420141021984107,0.00826,0.01,0.0,0.97,100,11,0,11
8,0.9257557518522914,-2.827675461104329,-0.16751164702282106,-0.07354208437144302,-0.0511075341275951,-0.029223843500611073,0.008059,0.01,0.0,0.97,100,11,0,11
9,0.9231995435935297,-2.8592847493758757,-0.18367122049309437,-0.08050054333807136,-0.055907254560956555,-0.03208228640583603,0.007868,0.01,0.0,0.97,100,11,0,11
10,0.909880254605915,-2.896486233152747,-0.20295458735088812,-0.08934278965580372,-0.06192587363832131,-0.03541561434134415,0.007686,0.01,0.0,0.97,100,11,0,11
11,0.9203584543341307,-2.926245870405478,-0.21811204255980782,-0.09607439941295288,-0.06648731491401205,-0.037888288607835385,0.007513,0.01,0.0,0.97,100,10,0,10
12,0.9267675916248019,-2.954421549670493,-0.23231470139314547,-0.10227937867895033,-0.07089841935701428,-0.04036603659439663,0.007346,0.01,0.0,0.97,100,11,0,11
13,0.9243608491755333,-2.9822968327795425,-0.24639121980438797,-0.10847241128703364,-0.07526134235024458,-0.04279632642910867,0.007188,0.01,0.0,0.97,100,11,0,11
14,0.9236885809666001,-3.0108700367056547,-0.26105720193223847,-0.1145934280514007,-0.07947034582538631,-0.04531821603676551,0.007035,0.01,0.0,0.97,100,11,0,11
15,0.9249668774213025,-3.0376515113656732,-0.27461213589041794,-0.12040698740055697,-0.08362754701407063,-0.0476931890362632,0.006889,0.01,0.0,0.97,100,11,0,11
16,0.9245162697813355,-3.063624091589844,-0.2879233901006168,-0.12643722634448895,-0.0875914273287247,-0.04986625522625556,0.006749,0.01,0.0,0.97,100,11,0,11
17,0.9305365557075543,-3.0871776085746445,-0.2997559422337662,-0.13163698752734018,-0.09135035523704302,-0.05199728850548678,0.006615,0.01,0.0,0.97,100,11,0,11
18,0.9233731164155221,-3.1125802023343674,-0.3125577919351069,-0.13739843345695393,-0.09545300323424426,-0.054208528784567035,0.006486,0.01,0.0,0.97,100,11,0,11
19,0.9184712511031159,-3.1396491890139577,-0.3264645208370545,-0.14365261858375464,-0.09981733462970174,-0.056492295768200466,0.006362,0.01,0.0,0.97,100,11,0,11
20,0.9230195929048179,-3.1646484265304307,-0.33910656181649307,-0.14909166115734726,-0.10384405418552084,-0.05881255214082794,0.006242,0.01,0.0,0.97,100,11,0,11
21,0.9240997981648265,-3.188626387934958,-0.351199073120797,-0.15447513605173874,-0.10762503296478265,-0.06102651126932249,0.006127,0.01,0.0,0.97,100,11,0,11
