seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
49,7,4,0,0,0,0,0,0,0,0.0133,0.0226,0,0,0,0,0,0,0,0,0,-25,-20,-24,-26,-10,-18,-12
49,7,5,0,0,0,0,0,1,2,0.0133,0.0253,0,0,3,0,8,3,182,156,190,0,0,0,3,0,0,0
49,7,6,15,27,1,0,4,1,2,0.016,0.0279,0,0,3,0,5,1,181,183,186,0,0,2,1,0,0,0
49,7,7,31,15,0,0,3,0,0,0.016,0.0279,0,0,0,0,8,10,142,133,150,0,0,0,0,0,0,0
49,7,8,36,32,0,0,4,0,1,0.016,0.0293,0,0,1,0,4,2,108,124,112,0,1,0,0,0,0,0
49,7,9,14,33,0,0,3,0,0,0.016,0.0293,0,0,0,0,9,0,135,128,144,0,0,0,0,0,0,0
49,7,10,32,33,0,0,4,2,0,0.0173,0.0293,0,0,2,0,7,0,199,178,206,0,0,1,0,0,1,0
49,7,11,35,18,0,0,4,2,1,0.0213,0.0306,0,0,3,0,10,7,180,188,190,0,0,1,1,0,0,1
49,7,12,28,32,0,0,4,0,0,0.0213,0.0306,0,0,0,0,7,0,209,205,216,0,0,0,0,0,0,0
49,7,13,26,27,0,0,4,1,0,0.0226,0.0306,0,0,1,0,12,6,220,219,232,0,1,0,0,0,0,0
49,7,14,33,25,0,0,4,2,2,0.0226,0.0332,0,0,4,0,34,3,422,391,456,0,1,1,1,0,0,1
49,7,15,14,33,0,0,3,0,2,0.0253,0.0359,0,0,2,0,12,5,246,266,258,1,0,1,0,0,0,0
49,7,16,29,26,0,0,4,0,0,0.0253,0.0359,0,0,0,0,2,16,180,195,182,0,0,0,0,0,0,0
49,7,17,29,16,0,0,3,1,0,0.0239,0.0359,1,0,1,1,2,9,166,169,168,0,0,0,0,0,1,0
49,7,18,10,17,0,0,3,0,0,0.0253,0.0359,0,0,0,0,5,14,183,187,188,0,0,0,0,0,0,0
49,7,19,20,10,1,0,5,0,0,0.0253,0.0359,0,0,0,0,0,1,70,83,70,0,0,0,0,0,0,0
49,7,20,0,0,0,0,0,0,1,0.0253,0.0372,0,0,1,0,1,5,117,114,118,0,0,0,0,0,0,1
49,7,21,0,0,0,0,0,0,1,0.0253,0.0386,0,0,1,0,1,6,65,75,66,0,1,0,0,0,0,0
49,7,22,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0
49,7,23,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,8,0,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,1,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0
49,8,2,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
49,8,3,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,4,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,0,0,20,17,20,0,0,0,0,0,0,0
49,8,5,0,0,0,0,0,0,0,0.0253,0.0386,0,0,0,0,9,4,251,219,260,0,0,0,0,0,0,0
49,8,6,19,20,1,0,3,0,0,0.0253,0.0386,0,0,0,0,31,16,167,165,198,0,0,0,0,0,0,0
49,8,7,20,38,0,0,3,0,0,0.0253,0.0386,0,0,0,0,13,5,127,141,140,0,0,0,0,0,0,0
49,8,8,30,31,0,0,4,1,2,0.0266,0.0412,0,0,3,0,10,1,132,135,142,1,1,0,1,0,0,0
49,8,9,33,18,0,0,3,0,0,0.0266,0.0412,0,0,0,0,6,6,154,155,160,0,0,0,0,0,0,0
49,8,10,29,26,0,0,4,1,0,0.0279,0.0412,0,0,1,0,3,0,127,116,130,0,0,0,0,0,0,1
49,8,11,29,29,0,0,4,0,3,0.0279,0.0452,0,0,3,0,10,2,192,187,202,1,0,2,0,0,0,0
49,8,12,12,30,0,0,4,2,1,0.0293,0.0465,1,0,3,1,5,1,221,213,226,0,0,0,0,2,1,0
49,8,13,32,14,0,0,3,4,2,0.0332,0.0492,1,0,6,1,7,4,323,309,330,1,1,1,1,0,0,2
49,8,14,16,34,0,0,3,1,2,0.0293,0.0519,3,0,3,3,17,23,365,358,382,0,0,0,1,1,0,1
49,8,15,31,30,0,0,4,0,0,0.0293,0.0519,1,0,0,1,3,17,197,231,200,0,0,0,0,0,0,0
49,8,16,13,14,0,0,3,0,0,0.0279,0.0519,2,0,0,2,7,7,203,192,210,0,0,0,0,0,0,0
49,8,17,27,10,0,0,3,0,0,0.0253,0.0519,1,0,0,1,1,3,173,184,174,0,0,0,0,0,0,0
49,8,18,13,30,0,0,5,0,0,0.0239,0.0519,1,0,0,1,5,3,159,165,164,0,0,0,0,0,0,0
49,8,19,19,24,1,6,5,0,1,0.0237,0.0434,0,15,1,15,0,0,78,81,78,0,0,0,1,0,0,0
49,8,20,0,0,0,0,0,1,2,0.025,0.0473,0,0,3,0,5,0,83,92,88,1,0,0,0,1,0,1
49,8,21,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,1,0,39,45,40,0,0,0,0,0,0,0
49,8,22,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
49,8,23,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,0,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,1,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,2,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,3,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,9,4,0,0,0,0,0,0,0,0.025,0.0473,0,0,0,0,0,0,28,24,28,0,0,0,0,0,0,0
49,9,5,0,0,0,0,0,1,1,0.0263,0.0486,0,0,2,0,21,2,157,143,178,1,0,1,0,0,0,0
49,9,6,20,16,1,0,3,0,1,0.0263,0.0499,0,0,1,0,54,2,158,140,212,0,0,0,0,0,0,1
49,9,7,32,32,0,0,4,0,1,0.0263,0.0512,0,0,1,0,20,5,146,150,166,1,0,0,0,0,0,0
49,9,8,16,36,0,0,3,2,1,0.0289,0.0526,0,0,3,0,9,2,119,125,128,0,3,0,0,0,0,0
49,9,9,33,29,0,0,4,1,0,0.0289,0.0526,0,0,1,0,7,0,115,119,122,1,0,0,0,0,0,0
49,9,10,26,30,0,0,4,0,2,0.0302,0.0552,0,0,2,0,5,0,201,184,206,0,1,0,0,1,0,0
49,9,11,10,10,0,0,2,1,1,0.0302,0.0552,1,0,2,1,6,0,172,182,178,0,0,0,0,1,1,0
49,9,12,39,24,0,0,5,0,1,0.0302,0.0578,0,0,1,0,15,1,225,218,240,1,0,0,0,0,0,0
49,9,13,19,31,0,0,4,0,1,0.0302,0.0591,0,0,1,0,8,1,276,262,284,0,0,0,0,1,0,0
49,9,14,32,19,0,0,3,1,4,0.0315,0.0631,0,0,5,0,13,5,357,335,370,0,2,1,0,1,0,1
49,9,15,27,25,0,0,4,0,0,0.0315,0.0644,0,0,0,0,15,6,253,274,268,0,0,0,0,0,0,0
49,9,16,20,38,0,0,5,0,3,0.0302,0.067,1,0,3,1,9,7,233,236,242,0,1,0,1,0,0,1
49,9,17,24,24,0,0,4,0,0,0.0302,0.0683,0,0,0,0,9,3,191,197,200,0,0,0,0,0,0,0
49,9,18,29,26,0,0,4,0,0,0.0302,0.0683,0,0,0,0,4,1,134,155,138,0,0,0,0,0,0,0
49,9,19,32,23,1,4,6,1,0,0.0317,0.0634,0,0,1,0,3,0,105,109,108,0,0,0,0,1,0,0
49,9,20,0,0,0,0,0,0,0,0.0317,0.0634,0,0,0,0,3,0,97,96,100,0,0,0,0,0,0,0
49,9,21,0,0,0,0,0,0,1,0.0317,0.0634,0,0,1,0,0,1,60,63,60,0,0,1,0,0,0,0
49,9,22,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
49,9,23,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,10,0,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,10,1,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,10,2,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,10,3,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,10,4,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,2,0,42,35,44,0,0,0,0,0,0,0
49,10,5,0,0,0,0,0,0,0,0.0317,0.0647,0,0,0,0,12,1,168,147,180,0,0,0,0,0,0,0
49,10,6,17,19,1,0,3,0,0,0.0315,0.0644,0,4,0,4,7,10,211,197,218,0,0,0,0,0,0,0
49,10,7,30,30,0,0,4,1,0,0.0329,0.0644,0,0,1,0,4,6,180,192,184,0,0,1,0,0,0,0
49,10,8,27,30,0,0,4,1,0,0.0329,0.0644,0,0,1,0,3,10,137,143,140,1,0,0,0,0,0,0
49,10,9,20,23,0,0,4,0,1,0.0329,0.0657,1,0,1,1,8,0,174,167,182,0,0,0,0,1,0,0
49,10,10,20,32,0,0,5,1,0,0.0315,0.0657,2,0,1,2,5,0,197,196,202,0,0,0,0,0,1,0
49,10,11,20,20,0,0,3,2,3,0.0302,0.0683,2,0,5,2,1,0,191,183,192,2,0,2,1,0,0,0
49,10,12,20,20,0,0,4,0,2,0.0289,0.0696,2,0,2,2,7,0,241,239,248,0,1,0,0,0,0,1
49,10,13,24,24,0,0,4,2,1,0.0302,0.0723,1,0,3,1,10,0,300,289,310,0,0,1,0,1,1,0
49,10,14,34,21,0,0,5,3,1,0.0329,0.0736,2,0,4,2,10,1,338,334,348,0,0,2,2,0,0,0
49,10,15,15,28,0,0,3,3,1,0.0329,0.0736,1,0,4,1,16,6,294,285,310,1,0,1,1,0,1,0
49,10,16,16,16,0,0,3,1,0,0.0342,0.0749,1,0,1,1,15,0,183,204,198,0,1,0,0,0,0,0
49,10,17,33,19,0,0,5,0,1,0.0315,0.0762,2,0,1,2,11,3,169,177,180,0,1,0,0,0,0,0
49,10,18,14,25,0,0,4,1,1,0.0302,0.0775,1,0,2,1,3,3,177,176,180,1,1,0,0,0,0,0
49,10,19,25,34,1,6,5,0,0,0.0315,0.0696,0,6,0,6,3,4,97,114,100,0,0,0,0,0,0,0
49,10,20,0,0,0,0,0,0,1,0.0315,0.071,0,0,1,0,1,14,131,128,132,0,1,0,0,0,0,0
49,10,21,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,2,56,71,56,0,0,0,0,0,0,0
49,10,22,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,0,2,10,2,0,0,0,0,0,0,0
49,10,23,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
49,11,0,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,1,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,2,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,3,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,4,0,0,0,0,0,0,0,0.0315,0.071,0,0,0,0,0,1,30,25,30,0,0,0,0,0,0,0
49,11,5,0,0,0,0,0,1,1,0.0315,0.0723,0,0,2,0,14,13,154,138,168,1,0,1,0,0,0,0
49,11,6,20,21,1,0,3,1,1,0.0342,0.0736,0,0,2,0,8,5,164,159,172,0,1,0,0,0,1,0
49,11,7,27,18,0,0,3,0,0,0.0329,0.0736,1,0,0,1,1,0,159,155,160,0,0,0,0,0,0,0
49,11,8,26,35,0,0,5,1,1,0.0329,0.0736,1,0,2,1,2,0,126,131,128,0,0,1,1,0,0,0
49,11,9,27,14,0,0,5,0,2,0.0315,0.0775,3,0,2,3,4,0,164,155,168,0,0,1,0,0,0,1
49,11,10,13,18,0,0,2,0,2,0.0276,0.0802,1,0,2,1,5,2,191,199,196,0,1,0,1,0,0,0
49,11,11,25,26,0,0,4,1,0,0.0276,0.0802,1,0,1,1,5,4,195,186,200,1,0,0,0,0,0,0
49,11,12,17,22,0,0,4,0,0,0.0276,0.0802,0,0,0,0,10,4,258,242,268,0,0,0,0,0,0,0
49,11,13,29,18,0,0,3,3,3,0.0302,0.0828,1,0,6,1,17,7,255,257,272,1,1,3,0,1,0,0
49,11,14,15,33,0,0,3,1,3,0.0315,0.0867,0,0,4,0,15,7,311,285,326,0,0,1,2,1,0,0
49,11,15,30,16,0,0,3,1,1,0.0329,0.088,0,0,2,0,4,14,202,241,206,1,0,1,0,0,0,0
49,11,16,8,22,0,0,4,1,1,0.0329,0.0907,0,0,2,0,2,3,238,215,240,0,1,0,1,0,0,0
49,11,17,25,11,0,0,3,1,0,0.0342,0.0907,0,0,1,0,6,4,144,183,150,1,0,0,0,0,0,0
