seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
47,7,6,8,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S26,2.99,20,0,20,0.0,-7.496879,,,-7.496879,True,True,,,,,,,0.620911,0.249023,0.139555,,,,,,,0.15472,0.086716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,28,S26,False,20,0,20,20,0,0,0,0,0,"['B575', 'B183', 'B612', 'B185', 'B357', 'B661', 'B305', 'B490', 'B755', 'B634', 'B127', 'B280', 'B22', 'B164', 'B688', 'B380', 'B725', 'B594', 'B145', 'B391']",13.0,S37,7.79,0,0,0,0.0,-7.464981,,,-7.464981,False,False,,,,,,,0.614496,0.257998,0.121818,,,,,,,0.141737,0.048001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,49,S37,False,0,0,0,0,20,0,0,0,0,"['B179', 'B411', 'B644', 'B576', 'B595', 'B62', 'B289', 'B696', 'B94', 'B480', 'B519', 'B589', 'B36', 'B241', 'B743', 'B237', 'B596', 'B177', 'B238', 'B446']",13.0,S65,5.89,20,0,20,0.0,-7.201625,,,-7.201625,False,False,,,,,,,0.527261,0.198694,0.126659,,,,,,,0.257482,0.071007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,8,S65,False,20,0,20,14,0,0,0,0,0,"['B179', 'B411', 'B644', 'B576', 'B595', 'B62', 'B289', 'B696', 'B94', 'B480', 'B519', 'B589', 'B36', 'B241']",10.0,S38,5.71,6,0,6,0.0,-7.200709,,,-7.200709,False,False,,,,,,,0.532393,0.190467,0.129231,,,,,,,0.247234,0.068989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,24,S38,False,6,0,6,0,14,0,0,0,0,"['B604', 'B174', 'B349', 'B203', 'B171', 'B135', 'B116', 'B65', 'B727', 'B616', 'B651', 'B293', 'B436', 'B542']",10.0,S32,6.58,20,0,20,0.0,-7.120862,,,-7.120862,False,False,,,,,,,0.515715,0.16853,0.130757,,,,,,,0.243598,0.059895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,40,S32,False,20,0,20,15,0,0,0,0,0,"['B743', 'B237', 'B596', 'B177', 'B238', 'B446', 'B604', 'B174', 'B349', 'B203', 'B171', 'B135', 'B116', 'B65', 'B727']",10.5,S63,3.1,5,0,5,0.0,-7.148239,,,-7.148239,True,False,,,,,,,0.520847,0.182605,0.114669,,,,,,,0.256418,0.051346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,54,S63,False,5,0,5,0,15,0,0,0,0,"['B134', 'B72', 'B645', 'B112', 'B624', 'B166', 'B296', 'B138', 'B482', 'B384', 'B98', 'B643', 'B118', 'B551', 'B744']",10.5,S27,4.87,20,0,20,0.0,-7.101748,,,-7.101748,False,False,,,,,,,0.514432,0.195741,0.116698,,,,,,,0.146716,0.052751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,9,S27,False,20,0,20,15,0,0,0,0,0,"['B616', 'B651', 'B293', 'B436', 'B542', 'B134', 'B72', 'B645', 'B112', 'B624', 'B166', 'B296', 'B138', 'B482', 'B384']",10.5,S29,4.93,5,0,5,0.0,-7.010804,,,-7.010804,True,False,,,,,,,0.490058,0.190004,0.103161,,,,,,,0.137652,0.040522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,25,S29,False,5,0,5,0,13,0,0,0,0,"['B413', 'B151', 'B213', 'B369', 'B88', 'B752', 'B641', 'B488', 'B591', 'B124', 'B229', 'B599', 'B536']",9.5,S55,2.12,18,0,18,0.0,-6.928948,,,-6.928948,False,False,,,,,,,0.470815,0.17115,0.102219,,,,,,,0.133882,0.040543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,36,S55,False,18,0,18,15,0,0,0,0,0,"['B98', 'B643', 'B118', 'B551', 'B744', 'B413', 'B151', 'B213', 'B369', 'B88', 'B752', 'B641', 'B488', 'B591', 'B124']",10.5,S59,6.49,3,0,3,0.0,-6.882917,,,-6.882917,False,False,,,,,,,0.457986,0.169864,0.093526,,,,,,,0.124915,0.042899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
