seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
46,6,23,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,-34,-21,-15,-24,-14,-19,-11
46,7,0,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,1,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,2,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,3,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,4,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,20,17,20,0,0,0,0,0,0,0
46,7,5,0,0,0,0,0,2,1,0.0132,0.0278,0,0,3,0,18,0,174,150,192,0,0,3,0,0,0,0
46,7,6,15,20,1,0,3,0,1,0.0132,0.0291,0,0,1,0,24,3,186,182,210,0,1,0,0,0,0,0
46,7,7,30,29,0,0,4,0,0,0.0106,0.0291,2,0,0,2,15,3,119,135,134,0,0,0,0,0,0,0
46,7,8,24,40,0,0,5,1,0,0.0119,0.0291,0,0,1,0,5,2,149,143,154,0,0,0,0,0,1,0
46,7,9,31,30,0,0,4,0,0,0.0106,0.0291,1,0,0,1,6,3,144,139,150,0,0,0,0,0,0,0
46,7,10,40,39,0,0,6,1,0,0.0119,0.0291,0,0,1,0,10,1,180,170,190,0,0,0,1,0,0,0
46,7,11,25,13,0,0,3,0,0,0.0106,0.0291,1,0,0,1,12,0,146,149,158,0,0,0,0,0,0,0
46,7,12,24,26,0,0,5,0,0,0.0106,0.0291,0,0,0,0,5,3,219,216,224,0,0,0,0,0,0,0
46,7,13,20,32,0,0,5,1,1,0.0119,0.0305,0,0,2,0,1,6,281,277,282,1,0,0,0,1,0,0
