seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
42,7,6,5,D0,True,16,0,16,0,0,0,0,0,4,"['B71', 'B242', 'B625', 'B319']",5.0,S41,2.23,20,0,20,0.0,-7.447198,,,-7.447198,True,True,,,,,,,0.66068,0.289516,0.141557,,,,,0.19403,0.044776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,6,27,S41,False,20,0,20,19,0,0,0,0,0,"['B500', 'B322', 'B487', 'B122', 'B762', 'B333', 'B633', 'B172', 'B563', 'B405', 'B641', 'B721', 'B324', 'B503', 'B82', 'B694', 'B71', 'B242', 'B625']",12.5,S59,2.97,1,0,1,0.0,-7.516972,,,-7.516972,True,False,,,,,,,0.683772,0.302114,0.156533,,,,,0.223881,0.059701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,6,43,S59,False,1,0,1,0,19,0,0,0,0,"['B137', 'B471', 'B374', 'B375', 'B313', 'B379', 'B178', 'B628', 'B147', 'B673', 'B17', 'B667', 'B95', 'B634', 'B460', 'B63', 'B197', 'B480', 'B258']",12.5,S26,8.38,20,0,20,0.0,-7.268317,,,-7.268317,False,False,,,,,,,0.588839,0.248778,0.154401,,,,,0.149254,0.059701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,4,S26,False,20,0,20,20,0,0,0,0,0,"['B319', 'B137', 'B471', 'B374', 'B375', 'B313', 'B379', 'B178', 'B628', 'B147', 'B673', 'B17', 'B667', 'B95', 'B634', 'B460', 'B63', 'B197', 'B480', 'B258']",13.0,S38,9.12,0,0,0,0.0,-7.305068,,,-7.305068,False,False,,,,,,,0.596536,0.261724,0.148759,,,,,0.179104,0.044776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,26,S38,False,0,0,0,0,19,0,0,0,0,"['B9', 'B734', 'B665', 'B113', 'B144', 'B233', 'B161', 'B346', 'B169', 'B367', 'B646', 'B552', 'B269', 'B216', 'B699', 'B755', 'B589', 'B473', 'B739']",12.5,S24,10.24,19,0,19,0.0,-7.272095,,,-7.272095,False,False,,,,,,,0.582425,0.251088,0.15555,,,,,0.179104,0.029851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,48,S24,False,19,0,19,15,0,0,0,0,0,"['B9', 'B734', 'B665', 'B113', 'B144', 'B233', 'B161', 'B346', 'B169', 'B367', 'B646', 'B552', 'B269', 'B216', 'B699']",10.5,S37,9.36,4,0,4,0.0,-7.224282,,,-7.224282,False,False,,,,,,,0.565747,0.235199,0.162571,,,,,0.164179,0.044776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,8,S37,False,4,0,4,0,16,0,0,0,0,"['B517', 'B703', 'B421', 'B707', 'B192', 'B92', 'B657', 'B658', 'B134', 'B335', 'B761', 'B411', 'B79', 'B73', 'B32', 'B8']",11.0,S6,11.36,20,0,20,0.0,-7.188285,,,-7.188285,False,False,,,,,,,0.556767,0.224365,0.175168,,,,,0.134328,0.044776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,31,S6,False,20,0,20,13,0,0,0,0,0,"['B755', 'B589', 'B473', 'B739', 'B517', 'B703', 'B421', 'B707', 'B192', 'B92', 'B657', 'B658', 'B134']",9.5,S48,16.42,7,0,7,0.0,-7.135323,,,-7.135323,False,False,,,,,,,0.54009,0.207773,0.166303,,,,,0.119403,0.044776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,57,S48,False,7,0,7,7,0,0,0,0,0,"['B335', 'B761', 'B411', 'B79', 'B73', 'B32', 'B8']",6.5,S1,8.18,0,0,0,0.0,-7.249866,,,-7.249866,True,False,,,,,,,0.582425,0.248382,0.154822,,,,,0.134328,0.059701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,9,11,S1,False,0,0,0,0,13,0,0,0,0,"['B372', 'B512', 'B156', 'B94', 'B278', 'B120', 'B256', 'B611', 'B602', 'B571', 'B91', 'B534', 'B185']",9.5,S66,8.66,13,0,13,0.0,-7.223191,,,-7.223191,False,False,,,,,,,0.578576,0.232707,0.155495,,,,,0.119403,0.074627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
